POA_CODE_2021	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
POA0850	1	1	1	9600	11
POA0850	1	1	1	12000	19
POA0850	1	1	1	14400	21
POA0850	1	1	1	16800	23
POA0850	1	1	1	19200	22
POA0850	1	1	1	21600	21
POA0850	1	1	1	24000	15
POA0850	1	1	1	26400	15
POA0850	1	1	1	28800	10
POA0850	1	1	1	31200	19
POA0850	1	1	1	36000	19
POA0850	1	1	1	48000	3
POA0852	1	0	0	9600	4
POA0852	1	0	0	14400	3
POA0852	1	0	0	24000	4
POA0852	1	1	0	19200	3
POA0852	1	1	1	7200	4
POA0852	1	1	1	12000	3
POA0852	1	1	1	14400	5
POA0852	1	1	1	16800	6
POA0852	1	1	1	19200	3
POA0852	1	1	1	24000	8
POA0852	1	1	1	31200	4
POA0852	1	1	1	60000	4
POA0854	1	0	0	14400	3
POA0860	1	0	0	3600	3
POA0860	1	0	0	7200	5
POA0860	1	0	0	9600	4
POA0860	1	0	0	16800	4
POA0860	1	1	0	1800	3
POA0860	1	1	0	3600	3
POA0860	1	1	0	14400	6
POA0860	1	1	0	19200	4
POA0860	1	1	0	21600	3
POA0860	1	1	1	3600	3
POA0860	1	1	1	9600	4
POA0860	1	1	1	12000	3
POA0860	1	1	1	16800	4
POA0860	1	1	1	31200	4
POA0862	1	1	1	0	3
POA0870		1	1	12000	5
POA0870		1	1	14400	3
POA0870		1	1	16800	3
POA0870		1	1	19200	5
POA0870		1	1	36000	4
POA0870	0	1	0	0	3
POA0870	0	1	0	5400	5
POA0870	0	1	0	7200	3
POA0870	0	1	0	9600	12
POA0870	0	1	0	12000	6
POA0870	0	1	0	14400	13
POA0870	0	1	0	16800	9
POA0870	0	1	0	19200	14
POA0870	0	1	0	21600	17
POA0870	0	1	0	24000	20
POA0870	0	1	0	26400	11
POA0870	0	1	0	31200	13
POA0870	0	1	0	36000	4
POA0870	0	1	1	7200	6
POA0870	0	1	1	9600	11
POA0870	0	1	1	12000	16
POA0870	0	1	1	14400	12
POA0870	0	1	1	16800	18
POA0870	0	1	1	19200	23
POA0870	0	1	1	21600	15
POA0870	0	1	1	24000	20
POA0870	0	1	1	26400	7
POA0870	0	1	1	28800	3
POA0870	0	1	1	31200	18
POA0870	0	1	1	36000	19
POA0870	0	1	1	60000	3
POA0870	1	0	0	0	21
POA0870	1	0	0	1800	4
POA0870	1	0	0	3600	7
POA0870	1	0	0	5400	6
POA0870	1	0	0	7200	21
POA0870	1	0	0	9600	28
POA0870	1	0	0	12000	29
POA0870	1	0	0	14400	49
POA0870	1	0	0	16800	69
POA0870	1	0	0	19200	62
POA0870	1	0	0	21600	55
POA0870	1	0	0	24000	90
POA0870	1	0	0	26400	26
POA0870	1	0	0	28800	12
POA0870	1	0	0	31200	39
POA0870	1	0	0	36000	47
POA0870	1	0	0	48000	20
POA0870	1	0	0	60000	10
POA0870	1	1	0	0	13
POA0870	1	1	0	3600	9
POA0870	1	1	0	7200	7
POA0870	1	1	0	9600	9
POA0870	1	1	0	12000	12
POA0870	1	1	0	14400	22
POA0870	1	1	0	16800	22
POA0870	1	1	0	19200	17
POA0870	1	1	0	21600	22
