POA_CODE_2021	Age5yr	Indigenous	persons
POA0845	35-39	0	7
POA0845	35-39	1	7
POA0845	40-44		3
POA0845	40-44	0	4
POA0845	40-44	1	5
POA0845	45-49		7
POA0845	45-49	0	15
POA0845	45-49	1	9
POA0845	50-54		12
POA0845	50-54	0	18
POA0845	50-54	1	14
POA0845	55-59	0	17
POA0845	55-59	1	10
POA0845	60-64	0	19
POA0845	60-64	1	12
POA0845	65+		12
POA0845	65+	0	48
POA0845	65+	1	10
POA0846	0-4	0	6
POA0846	0-4	1	5
POA0846	5-9	0	7
POA0846	5-9	1	13
POA0846	10-14		5
POA0846	10-14	0	5
POA0846	10-14	1	13
POA0846	15-19	0	6
POA0846	15-19	1	3
POA0846	20-24	0	5
POA0846	20-24	1	5
POA0846	25-29		8
POA0846	25-29	0	7
POA0846	25-29	1	6
POA0846	30-34		3
POA0846	30-34	0	10
POA0846	30-34	1	3
POA0846	35-39		3
POA0846	35-39	0	5
POA0846	35-39	1	4
POA0846	40-44	0	9
POA0846	45-49	0	8
POA0846	45-49	1	7
POA0846	50-54		6
POA0846	50-54	0	15
POA0846	50-54	1	3
POA0846	55-59		7
POA0846	55-59	0	19
POA0846	55-59	1	10
POA0846	60-64		5
POA0846	60-64	0	18
POA0846	65+		16
POA0846	65+	0	55
POA0846	65+	1	4
POA0847	0-4	0	10
POA0847	0-4	1	9
POA0847	5-9	0	3
POA0847	5-9	1	21
POA0847	10-14	0	5
POA0847	10-14	1	20
POA0847	15-19	0	6
POA0847	15-19	1	15
POA0847	20-24	0	6
POA0847	20-24	1	13
POA0847	25-29		4
POA0847	25-29	0	12
POA0847	25-29	1	8
POA0847	30-34	0	9
POA0847	30-34	1	13
POA0847	35-39	0	4
POA0847	35-39	1	3
POA0847	40-44		6
POA0847	40-44	0	7
POA0847	40-44	1	3
POA0847	45-49	0	3
POA0847	45-49	1	13
POA0847	50-54		8
POA0847	50-54	0	11
POA0847	50-54	1	12
POA0847	55-59		4
POA0847	55-59	0	11
POA0847	55-59	1	4
POA0847	60-64		6
POA0847	60-64	0	11
POA0847	65+		7
POA0847	65+	0	35
POA0847	65+	1	3
POA0850	0-4		52
POA0850	0-4	0	289
POA0850	0-4	1	215
POA0850	5-9		88
POA0850	5-9	0	271
POA0850	5-9	1	248
POA0850	10-14		86
POA0850	10-14	0	225
POA0850	10-14	1	253
POA0850	15-19		63
POA0850	15-19	0	188
POA0850	15-19	1	191
POA0850	20-24		54
POA0850	20-24	0	308
POA0850	20-24	1	164
POA0850	25-29		84
POA0850	25-29	0	479
POA0850	25-29	1	141
POA0850	30-34		99
POA0850	30-34	0	498
POA0850	30-34	1	140
POA0850	35-39		83
POA0850	35-39	0	401
POA0850	35-39	1	141
POA0850	40-44		62
POA0850	40-44	0	288
POA0850	40-44	1	128
POA0850	45-49		58
POA0850	45-49	0	271
POA0850	45-49	1	124
POA0850	50-54		58
POA0850	50-54	0	331
POA0850	50-54	1	143
POA0850	55-59		75
POA0850	55-59	0	288
POA0850	55-59	1	89
POA0850	60-64		57
POA0850	60-64	0	291
POA0850	60-64	1	93
POA0850	65+		93
POA0850	65+	0	551
POA0850	65+	1	116
POA0852	0-4		39
POA0852	0-4	0	81
POA0852	0-4	1	577
POA0852	5-9		42
POA0852	5-9	0	60
POA0852	5-9	1	604
POA0852	10-14		42
POA0852	10-14	0	65
POA0852	10-14	1	651
POA0852	15-19		76
POA0852	15-19	0	94
POA0852	15-19	1	629
POA0852	20-24		144
POA0852	20-24	0	159
POA0852	20-24	1	600
POA0852	25-29		108
POA0852	25-29	0	209
POA0852	25-29	1	480
POA0852	30-34		93
POA0852	30-34	0	146
POA0852	30-34	1	499
POA0852	35-39		76
POA0852	35-39	0	145
POA0852	35-39	1	399
POA0852	40-44		56
POA0852	40-44	0	111
POA0852	40-44	1	344
POA0852	45-49		71
POA0852	45-49	0	101
POA0852	45-49	1	281
POA0852	50-54		55
POA0852	50-54	0	133
POA0852	50-54	1	326
POA0852	55-59		61
POA0852	55-59	0	147
POA0852	55-59	1	214
POA0852	60-64		40
POA0852	60-64	0	110
POA0852	60-64	1	147
POA0852	65+		80
POA0852	65+	0	228
POA0852	65+	1	219
POA0853	0-4	0	80
POA0853	0-4	1	8
POA0853	5-9	0	88
POA0853	5-9	1	9
POA0853	10-14		4
POA0853	10-14	0	43
POA0853	10-14	1	5
POA0853	15-19	0	20
POA0853	20-24		11
POA0853	20-24	0	68
POA0853	20-24	1	4
POA0853	25-29		8
POA0853	25-29	0	98
POA0853	25-29	1	5
POA0853	30-34		15
POA0853	30-34	0	132
POA0853	30-34	1	4
POA0853	35-39		3
POA0853	35-39	0	101
POA0853	40-44		7
POA0853	40-44	0	42
POA0853	45-49		5
POA0853	45-49	0	30
POA0853	50-54	0	22
POA0853	50-54	1	5
POA0853	55-59		3
POA0853	55-59	0	15
POA0853	60-64	0	3
POA0853	65+	0	7
POA0854	0-4		9
POA0854	0-4	0	4
POA0854	0-4	1	46
POA0854	5-9		4
POA0854	5-9	0	4
POA0854	5-9	1	54
POA0854	10-14	0	5
POA0854	10-14	1	55
POA0854	15-19	1	55
POA0854	20-24	0	4
POA0854	20-24	1	65
POA0854	25-29		6
POA0854	25-29	0	4
POA0854	25-29	1	46
POA0854	30-34		5
POA0854	30-34	0	11
POA0854	30-34	1	37
POA0854	35-39		6
POA0854	35-39	0	3
POA0854	35-39	1	33
POA0854	40-44		9
POA0854	40-44	0	10
POA0854	40-44	1	34
POA0854	45-49		9
POA0854	45-49	0	9
POA0854	45-49	1	32
POA0854	50-54		3
POA0854	50-54	0	23
POA0854	50-54	1	27
POA0854	55-59		8
POA0854	55-59	0	11
POA0854	55-59	1	21
POA0854	60-64		4
POA0854	60-64	0	20
POA0854	60-64	1	29
POA0854	65+		9
POA0854	65+	0	24
POA0854	65+	1	28
POA0860	0-4		18
POA0860	0-4	0	72
POA0860	0-4	1	184
POA0860	5-9		14
POA0860	5-9	0	34
POA0860	5-9	1	169
POA0860	10-14		8
POA0860	10-14	0	24
POA0860	10-14	1	146
POA0860	15-19		15
POA0860	15-19	0	29
POA0860	15-19	1	124
POA0860	20-24		14
POA0860	20-24	0	57
POA0860	20-24	1	118
POA0860	25-29		26
POA0860	25-29	0	113
POA0860	25-29	1	160
POA0860	30-34		12
POA0860	30-34	0	132
POA0860	30-34	1	133
POA0860	35-39		10
POA0860	35-39	0	100
POA0860	35-39	1	107
POA0860	40-44		17
POA0860	40-44	0	72
POA0860	40-44	1	98
POA0860	45-49		22
POA0860	45-49	0	70
POA0860	45-49	1	101
POA0860	50-54		27
POA0860	50-54	0	89
POA0860	50-54	1	105
POA0860	55-59		20
POA0860	55-59	0	92
POA0860	55-59	1	86
POA0860	60-64		14
POA0860	60-64	0	104
POA0860	60-64	1	68
POA0860	65+		19
POA0860	65+	0	146
POA0860	65+	1	117
POA0862	0-4		3
POA0862	0-4	0	8
POA0862	0-4	1	40
POA0862	5-9	0	8
POA0862	5-9	1	48
POA0862	10-14	0	3
POA0862	10-14	1	28
POA0862	15-19		7
POA0862	15-19	0	19
POA0862	15-19	1	36
POA0862	20-24		5
POA0862	20-24	0	70
POA0862	20-24	1	29
POA0862	25-29		4
POA0862	25-29	0	48
POA0862	25-29	1	28
POA0862	30-34		10
POA0862	30-34	0	25
POA0862	30-34	1	28
POA0862	35-39		3
POA0862	35-39	0	12
POA0862	35-39	1	22
POA0862	40-44		6
POA0862	40-44	0	14
POA0862	40-44	1	26
POA0862	45-49	0	13
POA0862	45-49	1	26
POA0862	50-54		4
POA0862	50-54	0	12
POA0862	50-54	1	17
POA0862	55-59		4
POA0862	55-59	0	9
POA0862	55-59	1	19
POA0862	60-64		7
POA0862	60-64	0	17
POA0862	60-64	1	14
POA0862	65+		7
POA0862	65+	0	25
POA0862	65+	1	16
POA0870	0-4		66
POA0870	0-4	0	1036
POA0870	0-4	1	363
POA0870	5-9		60
POA0870	5-9	0	997
POA0870	5-9	1	367
POA0870	10-14		60
POA0870	10-14	0	880
POA0870	10-14	1	410
POA0870	15-19		68
POA0870	15-19	0	716
POA0870	15-19	1	392
POA0870	20-24		48
POA0870	20-24	0	646
POA0870	20-24	1	308
POA0870	25-29		134
POA0870	25-29	0	1417
POA0870	25-29	1	296
POA0870	30-34		120
POA0870	30-34	0	1769
POA0870	30-34	1	271
POA0870	35-39		106
POA0870	35-39	0	1444
POA0870	35-39	1	249
POA0870	40-44		91
POA0870	40-44	0	1113
POA0870	40-44	1	231
POA0870	45-49		69
POA0870	45-49	0	912
POA0870	45-49	1	241
POA0870	50-54		95
POA0870	50-54	0	990
POA0870	50-54	1	224
POA0870	55-59		76
POA0870	55-59	0	967
POA0870	55-59	1	181
POA0870	60-64		65
POA0870	60-64	0	878
POA0870	60-64	1	146
POA0870	65+		128
POA0870	65+	0	1483
POA0870	65+	1	225
POA0872	0-4		22
POA0872	0-4	0	66
POA0872	0-4	1	1011
POA0872	5-9		10
POA0872	5-9	0	79
POA0872	5-9	1	1091
POA0872	10-14		9
POA0872	10-14	0	54
POA0872	10-14	1	1067
POA0872	15-19		18
POA0872	15-19	0	64
POA0872	15-19	1	1090
POA0872	20-24		74
POA0872	20-24	0	156
POA0872	20-24	1	1078
POA0872	25-29		98
POA0872	25-29	0	309
POA0872	25-29	1	1078
POA0872	30-34		91
POA0872	30-34	0	240
POA0872	30-34	1	1015
POA0872	35-39		47
POA0872	35-39	0	194
POA0872	35-39	1	927
POA0872	40-44		45
POA0872	40-44	0	149
POA0872	40-44	1	792
POA0872	45-49		59
POA0872	45-49	0	170
POA0872	45-49	1	679
POA0872	50-54		58
POA0872	50-54	0	172
POA0872	50-54	1	590
POA0872	55-59		73
POA0872	55-59	0	188
POA0872	55-59	1	426
POA0872	60-64		47
POA0872	60-64	0	175
POA0872	60-64	1	359
POA0872	65+		51
POA0872	65+	0	153
POA0872	65+	1	591
POA0873	0-4		13
POA0873	0-4	0	96
POA0873	0-4	1	54
POA0873	5-9		11
POA0873	5-9	0	97
POA0873	5-9	1	57
POA0873	10-14		6
POA0873	10-14	0	88
POA0873	10-14	1	63
POA0873	15-19		14
POA0873	15-19	0	82
POA0873	15-19	1	59
POA0873	20-24		11
POA0873	20-24	0	72
POA0873	20-24	1	38
POA0873	25-29		23
POA0873	25-29	0	122
POA0873	25-29	1	58
POA0873	30-34		13
POA0873	30-34	0	125
POA0873	30-34	1	60
