GCCSA_NAME21	Age	NeedsAssistance	Sex	persons
Migratory - Offshore - Shipping (Qld)	35-44	0	M	11
Migratory - Offshore - Shipping (Qld)	45-54		M	29
Migratory - Offshore - Shipping (Qld)	45-54	0	M	16
Migratory - Offshore - Shipping (Qld)	55-64		M	3
Greater Brisbane	0-4		F	3694
Greater Brisbane	0-4		M	3953
Greater Brisbane	0-4	0	F	68491
Greater Brisbane	0-4	0	M	71945
Greater Brisbane	0-4	1	F	881
Greater Brisbane	0-4	1	M	1528
Greater Brisbane	5-14		F	7943
Greater Brisbane	5-14		M	8514
Greater Brisbane	5-14	0	F	148538
Greater Brisbane	5-14	0	M	151390
Greater Brisbane	5-14	1	F	5753
Greater Brisbane	5-14	1	M	11501
Greater Brisbane	15-19		F	3466
Greater Brisbane	15-19		M	3750
Greater Brisbane	15-19	0	F	70937
Greater Brisbane	15-19	0	M	72800
Greater Brisbane	15-19	1	F	2375
Greater Brisbane	15-19	1	M	3787
Greater Brisbane	20-24		F	4555
Greater Brisbane	20-24		M	5561
Greater Brisbane	20-24	0	F	80254
Greater Brisbane	20-24	0	M	79711
Greater Brisbane	20-24	1	F	1948
Greater Brisbane	20-24	1	M	2609
Greater Brisbane	25-34		F	10414
Greater Brisbane	25-34		M	13071
Greater Brisbane	25-34	0	F	175984
Greater Brisbane	25-34	0	M	166801
Greater Brisbane	25-34	1	F	3839
Greater Brisbane	25-34	1	M	3966
Greater Brisbane	35-44		F	8628
Greater Brisbane	35-44		M	10690
Greater Brisbane	35-44	0	F	171182
Greater Brisbane	35-44	0	M	161406
Greater Brisbane	35-44	1	F	4396
Greater Brisbane	35-44	1	M	4038
Greater Brisbane	45-54		F	6735
Greater Brisbane	45-54		M	8743
Greater Brisbane	45-54	0	F	155210
Greater Brisbane	45-54	0	M	146456
Greater Brisbane	45-54	1	F	6558
Greater Brisbane	45-54	1	M	5348
Greater Brisbane	55-64		F	5325
Greater Brisbane	55-64		M	6378
Greater Brisbane	55-64	0	F	127002
Greater Brisbane	55-64	0	M	118716
Greater Brisbane	55-64	1	F	8815
Greater Brisbane	55-64	1	M	7558
Greater Brisbane	65-74		F	4394
Greater Brisbane	65-74		M	4666
Greater Brisbane	65-74	0	F	96066
Greater Brisbane	65-74	0	M	86732
Greater Brisbane	65-74	1	F	11653
Greater Brisbane	65-74	1	M	10652
Greater Brisbane	75-84		F	3300
Greater Brisbane	75-84		M	2781
Greater Brisbane	75-84	0	F	43940
Greater Brisbane	75-84	0	M	40099
Greater Brisbane	75-84	1	F	14823
Greater Brisbane	75-84	1	M	11073
Greater Brisbane	85+		F	2616
Greater Brisbane	85+		M	1390
Greater Brisbane	85+	0	F	9378
Greater Brisbane	85+	0	M	7563
Greater Brisbane	85+	1	F	14775
Greater Brisbane	85+	1	M	7155
Rest of Qld	0-4		F	4607
Rest of Qld	0-4		M	4997
Rest of Qld	0-4	0	F	63070
Rest of Qld	0-4	0	M	66628
Rest of Qld	0-4	1	F	769
Rest of Qld	0-4	1	M	1375
Rest of Qld	5-14		F	11287
Rest of Qld	5-14		M	12187
Rest of Qld	5-14	0	F	146931
Rest of Qld	5-14	0	M	150100
Rest of Qld	5-14	1	F	5617
Rest of Qld	5-14	1	M	11164
Rest of Qld	15-19		F	5065
Rest of Qld	15-19		M	5669
Rest of Qld	15-19	0	F	68398
Rest of Qld	15-19	0	M	70470
Rest of Qld	15-19	1	F	2449
Rest of Qld	15-19	1	M	3771
Rest of Qld	20-24		F	5892
Rest of Qld	20-24		M	7438
Rest of Qld	20-24	0	F	66048
Rest of Qld	20-24	0	M	64569
Rest of Qld	20-24	1	F	1657
Rest of Qld	20-24	1	M	2552
Rest of Qld	25-34		F	13433
Rest of Qld	25-34		M	17099
Rest of Qld	25-34	0	F	149528
Rest of Qld	25-34	0	M	137960
Rest of Qld	25-34	1	F	3102
Rest of Qld	25-34	1	M	3828
Rest of Qld	35-44		F	11692
Rest of Qld	35-44		M	15199
Rest of Qld	35-44	0	F	152597
Rest of Qld	35-44	0	M	137668
Rest of Qld	35-44	1	F	4040
Rest of Qld	35-44	1	M	4142
Rest of Qld	45-54		F	11398
Rest of Qld	45-54		M	15123
Rest of Qld	45-54	0	F	157618
Rest of Qld	45-54	0	M	146030
Rest of Qld	45-54	1	F	6879
Rest of Qld	45-54	1	M	6051
Rest of Qld	55-64		F	10453
