GCCSA_NAME21	Landlord	Rent.min	occupied_private_dwellings_being_rented
Greater Adelaide	Real estate agent	7875	1037
Greater Adelaide	Real estate agent	10500	1388
Greater Adelaide	Real estate agent	11812	8140
Greater Adelaide	Real estate agent	14437	24537
Greater Adelaide	Real estate agent	18375	28324
Greater Adelaide	Real estate agent	23625	10196
Greater Adelaide	Real estate agent	28875	3048
Greater Adelaide	Real estate agent	34125	1130
Greater Adelaide	Real estate agent	39375	496
Greater Adelaide	Real estate agent	44625	264
Greater Adelaide	Real estate agent	49875	333
Greater Adelaide	State or territory housing authority	52	688
Greater Adelaide	State or territory housing authority	3937	1499
Greater Adelaide	State or territory housing authority	5250	9228
Greater Adelaide	State or territory housing authority	7875	3905
Greater Adelaide	State or territory housing authority	10500	1576
Greater Adelaide	State or territory housing authority	11812	1894
Greater Adelaide	State or territory housing authority	14437	1553
Greater Adelaide	State or territory housing authority	18375	659
Greater Adelaide	State or territory housing authority	23625	107
Greater Adelaide	State or territory housing authority	28875	19
Greater Adelaide	State or territory housing authority	34125	19
Greater Adelaide	State or territory housing authority	39375	20
Greater Adelaide	State or territory housing authority	44625	13
Rest of SA		52	9
Rest of SA		3937	9
Rest of SA		5250	43
Rest of SA		7875	70
Rest of SA		10500	28
Rest of SA		11812	37
Rest of SA		14437	24
Rest of SA		18375	13
Rest of SA		23625	7
Rest of SA	(Other)	52	200
Rest of SA	(Other)	3937	108
Rest of SA	(Other)	5250	583
Rest of SA	(Other)	7875	677
Rest of SA	(Other)	10500	331
Rest of SA	(Other)	11812	338
Rest of SA	(Other)	14437	201
Rest of SA	(Other)	18375	65
Rest of SA	(Other)	23625	30
Rest of SA	(Other)	28875	9
Rest of SA	(Other)	34125	4
Rest of SA	(Other)	39375	3
Rest of SA	(Other)	44625	5
Rest of SA	(Other)	49875	7
Rest of SA	Co-op/church group etc	52	90
Rest of SA	Co-op/church group etc	3937	122
Rest of SA	Co-op/church group etc	5250	342
Rest of SA	Co-op/church group etc	7875	486
Rest of SA	Co-op/church group etc	10500	143
Rest of SA	Co-op/church group etc	11812	142
Rest of SA	Co-op/church group etc	14437	64
Rest of SA	Co-op/church group etc	18375	22
Rest of SA	Co-op/church group etc	23625	10
Rest of SA	Co-op/church group etc	28875	11
Rest of SA	Person not in same household	52	249
Rest of SA	Person not in same household	3937	185
Rest of SA	Person not in same household	5250	1126
Rest of SA	Person not in same household	7875	2043
Rest of SA	Person not in same household	10500	1737
Rest of SA	Person not in same household	11812	2111
Rest of SA	Person not in same household	14437	1640
Rest of SA	Person not in same household	18375	588
Rest of SA	Person not in same household	23625	120
Rest of SA	Person not in same household	28875	25
Rest of SA	Person not in same household	34125	12
Rest of SA	Person not in same household	39375	9
Rest of SA	Person not in same household	44625	3
Rest of SA	Person not in same household	49875	23
Rest of SA	Real estate agent	52	32
Rest of SA	Real estate agent	3937	42
Rest of SA	Real estate agent	5250	519
Rest of SA	Real estate agent	7875	2472
Rest of SA	Real estate agent	10500	1801
Rest of SA	Real estate agent	11812	4296
Rest of SA	Real estate agent	14437	4343
Rest of SA	Real estate agent	18375	1902
Rest of SA	Real estate agent	23625	259
Rest of SA	Real estate agent	28875	39
Rest of SA	Real estate agent	34125	16
Rest of SA	Real estate agent	39375	15
Rest of SA	Real estate agent	44625	6
Rest of SA	Real estate agent	49875	9
Rest of SA	State or territory housing authority	52	324
Rest of SA	State or territory housing authority	3937	723
Rest of SA	State or territory housing authority	5250	2624
Rest of SA	State or territory housing authority	7875	1509
Rest of SA	State or territory housing authority	10500	550
Rest of SA	State or territory housing authority	11812	488
Rest of SA	State or territory housing authority	14437	152
Rest of SA	State or territory housing authority	18375	51
Rest of SA	State or territory housing authority	23625	19
Rest of SA	State or territory housing authority	28875	5
Rest of SA	State or territory housing authority	34125	3
Rest of SA	State or territory housing authority	44625	6
Rest of SA	State or territory housing authority	49875	5
Greater Perth		52	14
Greater Perth		3937	12
Greater Perth		5250	73
Greater Perth		7875	72
Greater Perth		10500	51
Greater Perth		11812	60
Greater Perth		14437	147
Greater Perth		18375	166
Greater Perth		23625	43
Greater Perth		28875	15
Greater Perth		34125	7
Greater Perth		49875	11
Greater Perth	(Other)	52	36
Greater Perth	(Other)	3937	43
Greater Perth	(Other)	5250	254
Greater Perth	(Other)	7875	364
Greater Perth	(Other)	10500	330
Greater Perth	(Other)	11812	1112
Greater Perth	(Other)	14437	1500
Greater Perth	(Other)	18375	1535
