GCCSA_NAME21	Age	HoursHousekeeping	Sex	adults
Greater Darwin	45-54		F	785
Greater Darwin	45-54		M	1159
Greater Darwin	45-54	0	F	1298
Greater Darwin	45-54	0	M	1954
Greater Darwin	45-54	<5	F	1257
Greater Darwin	45-54	<5	M	2125
Greater Darwin	45-54	5-14	F	3319
Greater Darwin	45-54	5-14	M	2964
Greater Darwin	45-54	15-29	F	1534
Greater Darwin	45-54	15-29	M	801
Greater Darwin	45-54	30+	F	841
Greater Darwin	45-54	30+	M	359
Greater Darwin	55-64		F	593
Greater Darwin	55-64		M	771
Greater Darwin	55-64	0	F	1242
Greater Darwin	55-64	0	M	1800
Greater Darwin	55-64	<5	F	948
Greater Darwin	55-64	<5	M	1679
Greater Darwin	55-64	5-14	F	2456
Greater Darwin	55-64	5-14	M	2271
Greater Darwin	55-64	15-29	F	1188
Greater Darwin	55-64	15-29	M	634
Greater Darwin	55-64	30+	F	713
Greater Darwin	55-64	30+	M	341
Greater Darwin	65-74		F	391
Greater Darwin	65-74		M	488
Greater Darwin	65-74	0	F	1058
Greater Darwin	65-74	0	M	1405
Greater Darwin	65-74	<5	F	465
Greater Darwin	65-74	<5	M	891
Greater Darwin	65-74	5-14	F	1169
Greater Darwin	65-74	5-14	M	1268
Greater Darwin	65-74	15-29	F	823
Greater Darwin	65-74	15-29	M	529
Greater Darwin	65-74	30+	F	600
Greater Darwin	65-74	30+	M	281
Greater Darwin	75-84		F	192
Greater Darwin	75-84		M	203
Greater Darwin	75-84	0	F	587
Greater Darwin	75-84	0	M	655
Greater Darwin	75-84	<5	F	186
Greater Darwin	75-84	<5	M	288
Greater Darwin	75-84	5-14	F	345
Greater Darwin	75-84	5-14	M	405
Greater Darwin	75-84	15-29	F	262
Greater Darwin	75-84	15-29	M	178
Greater Darwin	75-84	30+	F	213
Greater Darwin	75-84	30+	M	110
Greater Darwin	85+		F	81
Greater Darwin	85+		M	52
Greater Darwin	85+	0	F	225
Greater Darwin	85+	0	M	184
Greater Darwin	85+	<5	F	55
Greater Darwin	85+	<5	M	36
Greater Darwin	85+	5-14	F	63
Greater Darwin	85+	5-14	M	54
Greater Darwin	85+	15-29	F	28
Greater Darwin	85+	15-29	M	18
Greater Darwin	85+	30+	F	15
Greater Darwin	85+	30+	M	25
Rest of NT	15-19		F	368
Rest of NT	15-19		M	426
Rest of NT	15-19	0	F	761
Rest of NT	15-19	0	M	998
Rest of NT	15-19	<5	F	1014
Rest of NT	15-19	<5	M	1129
Rest of NT	15-19	5-14	F	593
Rest of NT	15-19	5-14	M	543
Rest of NT	15-19	15-29	F	220
Rest of NT	15-19	15-29	M	167
Rest of NT	15-19	30+	F	103
Rest of NT	15-19	30+	M	103
Rest of NT	20-24		F	304
Rest of NT	20-24		M	458
Rest of NT	20-24	0	F	642
Rest of NT	20-24	0	M	888
Rest of NT	20-24	<5	F	905
Rest of NT	20-24	<5	M	993
Rest of NT	20-24	5-14	F	783
Rest of NT	20-24	5-14	M	640
Rest of NT	20-24	15-29	F	363
Rest of NT	20-24	15-29	M	227
Rest of NT	20-24	30+	F	234
Rest of NT	20-24	30+	M	123
Rest of NT	25-34		F	892
Rest of NT	25-34		M	1171
Rest of NT	25-34	0	F	1450
Rest of NT	25-34	0	M	1907
Rest of NT	25-34	<5	F	1786
Rest of NT	25-34	<5	M	2012
Rest of NT	25-34	5-14	F	2339
Rest of NT	25-34	5-14	M	1890
Rest of NT	25-34	15-29	F	1073
Rest of NT	25-34	15-29	M	582
Rest of NT	25-34	30+	F	853
Rest of NT	25-34	30+	M	307
Rest of NT	35-44		F	696
Rest of NT	35-44		M	946
Rest of NT	35-44	0	F	985
Rest of NT	35-44	0	M	1384
Rest of NT	35-44	<5	F	1125
Rest of NT	35-44	<5	M	1505
Rest of NT	35-44	5-14	F	1843
Rest of NT	35-44	5-14	M	1731
Rest of NT	35-44	15-29	F	1123
Rest of NT	35-44	15-29	M	616
Rest of NT	35-44	30+	F	836
Rest of NT	35-44	30+	M	327
Rest of NT	45-54		F	594
Rest of NT	45-54		M	747
Rest of NT	45-54	0	F	895
Rest of NT	45-54	0	M	1126
Rest of NT	45-54	<5	F	1023
Rest of NT	45-54	<5	M	1314
Rest of NT	45-54	5-14	F	1708
Rest of NT	45-54	5-14	M	1430
Rest of NT	45-54	15-29	F	868
Rest of NT	45-54	15-29	M	490
Rest of NT	45-54	30+	F	511
Rest of NT	45-54	30+	M	258
Rest of NT	55-64		F	484
Rest of NT	55-64		M	633
Rest of NT	55-64	0	F	881
Rest of NT	55-64	0	M	1098
Rest of NT	55-64	<5	F	787
Rest of NT	55-64	<5	M	1036
Rest of NT	55-64	5-14	F	1355
Rest of NT	55-64	5-14	M	1161
Rest of NT	55-64	15-29	F	623
Rest of NT	55-64	15-29	M	377
Rest of NT	55-64	30+	F	373
Rest of NT	55-64	30+	M	170
Rest of NT	65-74		F	266
Rest of NT	65-74		M	334
Rest of NT	65-74	0	F	574
Rest of NT	65-74	0	M	736
Rest of NT	65-74	<5	F	349
Rest of NT	65-74	<5	M	450
Rest of NT	65-74	5-14	F	544
Rest of NT	65-74	5-14	M	593
Rest of NT	65-74	15-29	F	326
Rest of NT	65-74	15-29	M	243
Rest of NT	65-74	30+	F	234
Rest of NT	65-74	30+	M	152
Rest of NT	75-84		F	93
Rest of NT	75-84		M	122
Rest of NT	75-84	0	F	262
Rest of NT	75-84	0	M	302
Rest of NT	75-84	<5	F	92
Rest of NT	75-84	<5	M	110
Rest of NT	75-84	5-14	F	125
Rest of NT	75-84	5-14	M	146
Rest of NT	75-84	15-29	F	74
Rest of NT	75-84	15-29	M	59
Rest of NT	75-84	30+	F	69
Rest of NT	75-84	30+	M	43
Rest of NT	85+		F	25
Rest of NT	85+		M	11
Rest of NT	85+	0	F	104
Rest of NT	85+	0	M	65
Rest of NT	85+	<5	F	35
Rest of NT	85+	<5	M	21
Rest of NT	85+	5-14	F	19
Rest of NT	85+	5-14	M	16
Rest of NT	85+	15-29	F	10
Rest of NT	85+	15-29	M	7
Rest of NT	85+	30+	F	6
Rest of NT	85+	30+	M	6
No usual address (ACT)	15-19		M	4
No usual address (ACT)	15-19	0	F	9
No usual address (ACT)	15-19	0	M	9
No usual address (ACT)	15-19	<5	F	20
No usual address (ACT)	15-19	<5	M	9
No usual address (ACT)	15-19	5-14	F	11
No usual address (ACT)	15-19	5-14	M	4
No usual address (ACT)	20-24		F	4
No usual address (ACT)	20-24		M	7
No usual address (ACT)	20-24	0	F	17
No usual address (ACT)	20-24	0	M	17
No usual address (ACT)	20-24	<5	F	14
No usual address (ACT)	20-24	<5	M	11
No usual address (ACT)	20-24	5-14	F	6
No usual address (ACT)	20-24	5-14	M	12
No usual address (ACT)	20-24	15-29	M	3
No usual address (ACT)	20-24	30+	F	3
No usual address (ACT)	25-34		F	7
No usual address (ACT)	25-34		M	11
No usual address (ACT)	25-34	0	F	5
No usual address (ACT)	25-34	0	M	20
No usual address (ACT)	25-34	<5	F	12
No usual address (ACT)	25-34	<5	M	9
No usual address (ACT)	25-34	5-14	F	15
No usual address (ACT)	25-34	5-14	M	15
No usual address (ACT)	25-34	15-29	F	3
No usual address (ACT)	25-34	30+	F	6
No usual address (ACT)	35-44		F	7
No usual address (ACT)	35-44		M	30
No usual address (ACT)	35-44	0	F	4
No usual address (ACT)	35-44	0	M	20
No usual address (ACT)	35-44	<5	F	5
No usual address (ACT)	35-44	<5	M	8
No usual address (ACT)	35-44	5-14	F	14
No usual address (ACT)	35-44	5-14	M	9
No usual address (ACT)	35-44	15-29	F	9
No usual address (ACT)	35-44	30+	F	4
No usual address (ACT)	45-54		F	7
No usual address (ACT)	45-54		M	19
No usual address (ACT)	45-54	0	F	3
No usual address (ACT)	45-54	0	M	12
No usual address (ACT)	45-54	<5	F	3
No usual address (ACT)	45-54	<5	M	10
No usual address (ACT)	45-54	5-14	F	15
No usual address (ACT)	45-54	5-14	M	9
No usual address (ACT)	45-54	15-29	F	4
No usual address (ACT)	55-64		F	8
No usual address (ACT)	55-64		M	16
No usual address (ACT)	55-64	0	F	3
No usual address (ACT)	55-64	0	M	7
No usual address (ACT)	55-64	<5	F	3
No usual address (ACT)	55-64	<5	M	10
No usual address (ACT)	55-64	5-14	F	16
No usual address (ACT)	55-64	5-14	M	3
No usual address (ACT)	55-64	15-29	F	8
No usual address (ACT)	65-74		F	4
No usual address (ACT)	65-74		M	10
No usual address (ACT)	65-74	0	M	8
No usual address (ACT)	65-74	<5	M	4
No usual address (ACT)	65-74	5-14	M	6
No usual address (ACT)	65-74	15-29	F	5
No usual address (ACT)	75-84		M	4
No usual address (ACT)	75-84	0	F	3
No usual address (ACT)	75-84	5-14	M	4
Australian Capital Territory	15-19		F	640
Australian Capital Territory	15-19		M	685
Australian Capital Territory	15-19	0	F	3805
Australian Capital Territory	15-19	0	M	4673
Australian Capital Territory	15-19	<5	F	6615
Australian Capital Territory	15-19	<5	M	6690
Australian Capital Territory	15-19	5-14	F	1641
Australian Capital Territory	15-19	5-14	M	1227
Australian Capital Territory	15-19	15-29	F	148
Australian Capital Territory	15-19	15-29	M	81
Australian Capital Territory	15-19	30+	F	53
Australian Capital Territory	15-19	30+	M	31
Australian Capital Territory	20-24		F	998
Australian Capital Territory	20-24		M	1124
Australian Capital Territory	20-24	0	F	3913
Australian Capital Territory	20-24	0	M	5569
Australian Capital Territory	20-24	<5	F	6427
Australian Capital Territory	20-24	<5	M	6550
Australian Capital Territory	20-24	5-14	F	4835
Australian Capital Territory	20-24	5-14	M	3342
Australian Capital Territory	20-24	15-29	F	688
Australian Capital Territory	20-24	15-29	M	319
Australian Capital Territory	20-24	30+	F	275
Australian Capital Territory	20-24	30+	M	139
Australian Capital Territory	25-34		F	1837
Australian Capital Territory	25-34		M	2286
Australian Capital Territory	25-34	0	F	7332
Australian Capital Territory	25-34	0	M	10161
Australian Capital Territory	25-34	<5	F	8031
Australian Capital Territory	25-34	<5	M	11404
Australian Capital Territory	25-34	5-14	F	13934
Australian Capital Territory	25-34	5-14	M	11956
Australian Capital Territory	25-34	15-29	F	4468
Australian Capital Territory	25-34	15-29	M	2078
Australian Capital Territory	25-34	30+	F	3393
Australian Capital Territory	25-34	30+	M	755
Australian Capital Territory	35-44		F	1246
Australian Capital Territory	35-44		M	1606
Australian Capital Territory	35-44	0	F	4006
Australian Capital Territory	35-44	0	M	5963
Australian Capital Territory	35-44	<5	F	4300
Australian Capital Territory	35-44	<5	M	7945
Australian Capital Territory	35-44	5-14	F	12851
Australian Capital Territory	35-44	5-14	M	13517
Australian Capital Territory	35-44	15-29	F	7476
Australian Capital Territory	35-44	15-29	M	3940
Australian Capital Territory	35-44	30+	F	5136
Australian Capital Territory	35-44	30+	M	1301
Australian Capital Territory	45-54		F	924
Australian Capital Territory	45-54		M	1128
Australian Capital Territory	45-54	0	F	2805
Australian Capital Territory	45-54	0	M	4296
Australian Capital Territory	45-54	<5	F	3764
Australian Capital Territory	45-54	<5	M	6967
Australian Capital Territory	45-54	5-14	F	11946
Australian Capital Territory	45-54	5-14	M	11400
Australian Capital Territory	45-54	15-29	F	6162
Australian Capital Territory	45-54	15-29	M	3063
Australian Capital Territory	45-54	30+	F	2740
Australian Capital Territory	45-54	30+	M	928
Australian Capital Territory	55-64		F	728
Australian Capital Territory	55-64		M	878
Australian Capital Territory	55-64	0	F	3033
Australian Capital Territory	55-64	0	M	3671
Australian Capital Territory	55-64	<5	F	3084
Australian Capital Territory	55-64	<5	M	5262
Australian Capital Territory	55-64	5-14	F	9166
Australian Capital Territory	55-64	5-14	M	8617
Australian Capital Territory	55-64	15-29	F	5025
Australian Capital Territory	55-64	15-29	M	2523
Australian Capital Territory	55-64	30+	F	2433
Australian Capital Territory	55-64	30+	M	910
Australian Capital Territory	65-74		F	790
Australian Capital Territory	65-74		M	701
Australian Capital Territory	65-74	0	F	3292
Australian Capital Territory	65-74	0	M	3266
Australian Capital Territory	65-74	<5	F	1793
Australian Capital Territory	65-74	<5	M	3115
Australian Capital Territory	65-74	5-14	F	5679
Australian Capital Territory	65-74	5-14	M	6172
Australian Capital Territory	65-74	15-29	F	4581
Australian Capital Territory	65-74	15-29	M	2419
Australian Capital Territory	65-74	30+	F	2889
Australian Capital Territory	65-74	30+	M	949
Australian Capital Territory	75-84		F	630
Australian Capital Territory	75-84		M	516
Australian Capital Territory	75-84	0	F	2685
Australian Capital Territory	75-84	0	M	2217
Australian Capital Territory	75-84	<5	F	988
Australian Capital Territory	75-84	<5	M	1545
Australian Capital Territory	75-84	5-14	F	2560
Australian Capital Territory	75-84	5-14	M	2655
Australian Capital Territory	75-84	15-29	F	2083
Australian Capital Territory	75-84	15-29	M	1239
Australian Capital Territory	75-84	30+	F	1611
Australian Capital Territory	75-84	30+	M	616
Australian Capital Territory	85+		F	477
Australian Capital Territory	85+		M	263
Australian Capital Territory	85+	0	F	1814
Australian Capital Territory	85+	0	M	1164
Australian Capital Territory	85+	<5	F	550
Australian Capital Territory	85+	<5	M	465
Australian Capital Territory	85+	5-14	F	774
Australian Capital Territory	85+	5-14	M	545
Australian Capital Territory	85+	15-29	F	416
Australian Capital Territory	85+	15-29	M	269
Australian Capital Territory	85+	30+	F	283
Australian Capital Territory	85+	30+	M	153
Other Territories	15-19		F	18
Other Territories	15-19		M	17
Other Territories	15-19	0	F	28
Other Territories	15-19	0	M	27
Other Territories	15-19	<5	F	41
Other Territories	15-19	<5	M	35
Other Territories	15-19	5-14	F	14
Other Territories	15-19	5-14	M	9
Other Territories	15-19	15-29	F	6
Other Territories	20-24		F	13
Other Territories	20-24		M	41
Other Territories	20-24	0	F	31
Other Territories	20-24	0	M	25
Other Territories	20-24	<5	F	23
Other Territories	20-24	<5	M	26
Other Territories	20-24	5-14	F	26
Other Territories	20-24	5-14	M	16
Other Territories	20-24	15-29	F	6
Other Territories	20-24	30+	F	6
Other Territories	25-34		F	51
Other Territories	25-34		M	162
Other Territories	25-34	0	F	50
Other Territories	25-34	0	M	55
Other Territories	25-34	<5	F	28
Other Territories	25-34	<5	M	53
Other Territories	25-34	5-14	F	64
Other Territories	25-34	5-14	M	41
Other Territories	25-34	15-29	F	29
Other Territories	25-34	15-29	M	12
Other Territories	25-34	30+	F	24
Other Territories	25-34	30+	M	8
Other Territories	35-44		F	48
Other Territories	35-44		M	101
Other Territories	35-44	0	F	42
Other Territories	35-44	0	M	58
Other Territories	35-44	<5	F	28
Other Territories	35-44	<5	M	59
Other Territories	35-44	5-14	F	98
Other Territories	35-44	5-14	M	75
Other Territories	35-44	15-29	F	64
Other Territories	35-44	15-29	M	25
Other Territories	35-44	30+	F	38
Other Territories	35-44	30+	M	15
Other Territories	45-54		F	36
Other Territories	45-54		M	86
Other Territories	45-54	0	F	40
Other Territories	45-54	0	M	57
Other Territories	45-54	<5	F	42
Other Territories	45-54	<5	M	61
Other Territories	45-54	5-14	F	97
Other Territories	45-54	5-14	M	92
Other Territories	45-54	15-29	F	64
Other Territories	45-54	15-29	M	29
Other Territories	45-54	30+	F	36
Other Territories	45-54	30+	M	23
Other Territories	55-64		F	45
Other Territories	55-64		M	59
Other Territories	55-64	0	F	66
Other Territories	55-64	0	M	72
Other Territories	55-64	<5	F	49
Other Territories	55-64	<5	M	92
Other Territories	55-64	5-14	F	124
Other Territories	55-64	5-14	M	106
Other Territories	55-64	15-29	F	63
Other Territories	55-64	15-29	M	41
Other Territories	55-64	30+	F	39
Other Territories	55-64	30+	M	17
Other Territories	65-74		F	32
Other Territories	65-74		M	45
Other Territories	65-74	0	F	63
Other Territories	65-74	0	M	83
Other Territories	65-74	<5	F	26
Other Territories	65-74	<5	M	34
Other Territories	65-74	5-14	F	59
Other Territories	65-74	5-14	M	89
Other Territories	65-74	15-29	F	40
Other Territories	65-74	15-29	M	30
Other Territories	65-74	30+	F	46
Other Territories	65-74	30+	M	32
Other Territories	75-84		F	22
Other Territories	75-84		M	24
Other Territories	75-84	0	F	40
Other Territories	75-84	0	M	44
Other Territories	75-84	<5	F	10
Other Territories	75-84	<5	M	14
Other Territories	75-84	5-14	F	31
Other Territories	75-84	5-14	M	19
Other Territories	75-84	15-29	F	13
Other Territories	75-84	15-29	M	7
Other Territories	75-84	30+	F	24
Other Territories	75-84	30+	M	10
Other Territories	85+		F	3
Other Territories	85+	0	F	9
Other Territories	85+	0	M	15
Other Territories	85+	<5	F	3
Other Territories	85+	<5	M	3
Other Territories	85+	5-14	F	5
Other Territories	85+	5-14	M	3
Other Territories	85+	15-29	F	3
Other Territories	85+	15-29	M	7
Other Territories	85+	30+	F	3
Other Territories	85+	30+	M	3
