GCCSA_NAME21	Age	MaxSchoolingCompleted	Sex	adults
No usual address (Tas.)	25-34	Year 12	F	58
No usual address (Tas.)	25-34	Year 12	M	37
No usual address (Tas.)	35-44		F	22
No usual address (Tas.)	35-44		M	34
No usual address (Tas.)	35-44	Year 8 or below	F	3
No usual address (Tas.)	35-44	Year 8 or below	M	6
No usual address (Tas.)	35-44	Year 9	F	3
No usual address (Tas.)	35-44	Year 9	M	5
No usual address (Tas.)	35-44	Year 10	F	22
No usual address (Tas.)	35-44	Year 10	M	31
No usual address (Tas.)	35-44	Year 11	F	10
No usual address (Tas.)	35-44	Year 11	M	5
No usual address (Tas.)	35-44	Year 12	F	40
No usual address (Tas.)	35-44	Year 12	M	25
No usual address (Tas.)	45-54		F	17
No usual address (Tas.)	45-54		M	31
No usual address (Tas.)	45-54	Year 8 or below	M	3
No usual address (Tas.)	45-54	Year 9	M	11
No usual address (Tas.)	45-54	Year 10	F	16
No usual address (Tas.)	45-54	Year 10	M	38
No usual address (Tas.)	45-54	Year 11	F	7
No usual address (Tas.)	45-54	Year 11	M	10
No usual address (Tas.)	45-54	Year 12	F	33
No usual address (Tas.)	45-54	Year 12	M	31
No usual address (Tas.)	55-64		F	21
No usual address (Tas.)	55-64		M	31
No usual address (Tas.)	55-64	Year 8 or below	F	3
No usual address (Tas.)	55-64	Year 8 or below	M	3
No usual address (Tas.)	55-64	Year 9	F	4
No usual address (Tas.)	55-64	Year 9	M	6
No usual address (Tas.)	55-64	Year 10	F	37
No usual address (Tas.)	55-64	Year 10	M	36
No usual address (Tas.)	55-64	Year 11	F	7
No usual address (Tas.)	55-64	Year 11	M	7
No usual address (Tas.)	55-64	Year 12	F	27
No usual address (Tas.)	55-64	Year 12	M	22
No usual address (Tas.)	65-74		F	25
No usual address (Tas.)	65-74		M	46
No usual address (Tas.)	65-74	Year 8 or below	M	9
No usual address (Tas.)	65-74	Year 9	F	9
No usual address (Tas.)	65-74	Year 9	M	11
No usual address (Tas.)	65-74	Year 10	F	17
No usual address (Tas.)	65-74	Year 10	M	17
No usual address (Tas.)	65-74	Year 12	F	11
No usual address (Tas.)	65-74	Year 12	M	14
No usual address (Tas.)	75-84		F	7
No usual address (Tas.)	75-84		M	4
No usual address (Tas.)	75-84	Year 8 or below	M	7
No usual address (Tas.)	75-84	Year 9	M	3
No usual address (Tas.)	75-84	Year 10	F	3
No usual address (Tas.)	75-84	Year 10	M	7
No usual address (Tas.)	75-84	Year 12	F	3
No usual address (Tas.)	85+		F	4
Migratory - Offshore - Shipping (Tas.)	35-44	Year 12	M	3
Migratory - Offshore - Shipping (Tas.)	45-54	Year 10	M	3
Migratory - Offshore - Shipping (Tas.)	45-54	Year 12	M	3
Greater Hobart	15-19		F	258
Greater Hobart	15-19		M	278
Greater Hobart	15-19	Did not go to school	F	7
Greater Hobart	15-19	Did not go to school	M	3
Greater Hobart	15-19	Year 8 or below	F	28
Greater Hobart	15-19	Year 8 or below	M	51
Greater Hobart	15-19	Year 9	F	55
Greater Hobart	15-19	Year 9	M	77
Greater Hobart	15-19	Year 10	F	347
Greater Hobart	15-19	Year 10	M	591
Greater Hobart	15-19	Year 11	F	348
Greater Hobart	15-19	Year 11	M	448
Greater Hobart	15-19	Year 12	F	1550
Greater Hobart	15-19	Year 12	M	1425
Greater Hobart	20-24		F	325
Greater Hobart	20-24		M	330
Greater Hobart	20-24	Did not go to school	F	11
Greater Hobart	20-24	Did not go to school	M	13
Greater Hobart	20-24	Year 8 or below	F	30
Greater Hobart	20-24	Year 8 or below	M	37
Greater Hobart	20-24	Year 9	F	57
Greater Hobart	20-24	Year 9	M	63
Greater Hobart	20-24	Year 10	F	589
Greater Hobart	20-24	Year 10	M	871
Greater Hobart	20-24	Year 11	F	522
Greater Hobart	20-24	Year 11	M	588
Greater Hobart	20-24	Year 12	F	5795
Greater Hobart	20-24	Year 12	M	5568
Greater Hobart	25-34		F	949
Greater Hobart	25-34		M	1003
Greater Hobart	25-34	Did not go to school	F	81
Greater Hobart	25-34	Did not go to school	M	91
Greater Hobart	25-34	Year 8 or below	F	129
Greater Hobart	25-34	Year 8 or below	M	123
Greater Hobart	25-34	Year 9	F	164
Greater Hobart	25-34	Year 9	M	227
Greater Hobart	25-34	Year 10	F	1792
Greater Hobart	25-34	Year 10	M	2379
Greater Hobart	25-34	Year 11	F	1292
Greater Hobart	25-34	Year 11	M	1372
Greater Hobart	25-34	Year 12	F	15417
Greater Hobart	25-34	Year 12	M	14718
Greater Hobart	35-44		F	678
Greater Hobart	35-44		M	768
Greater Hobart	35-44	Did not go to school	F	78
Greater Hobart	35-44	Did not go to school	M	58
Greater Hobart	35-44	Year 8 or below	F	107
Greater Hobart	35-44	Year 8 or below	M	143
Greater Hobart	35-44	Year 9	F	150
Greater Hobart	35-44	Year 9	M	213
Greater Hobart	35-44	Year 10	F	2131
Greater Hobart	35-44	Year 10	M	2425
Greater Hobart	35-44	Year 11	F	1238
Greater Hobart	35-44	Year 11	M	1329
Greater Hobart	35-44	Year 12	F	11859
Greater Hobart	35-44	Year 12	M	10459
Greater Hobart	45-54		F	569
Greater Hobart	45-54		M	670
Greater Hobart	45-54	Did not go to school	F	107
Greater Hobart	45-54	Did not go to school	M	77
Greater Hobart	45-54	Year 8 or below	F	154
Greater Hobart	45-54	Year 8 or below	M	173
Greater Hobart	45-54	Year 9	F	350
Greater Hobart	45-54	Year 9	M	389
Greater Hobart	45-54	Year 10	F	3978
Greater Hobart	45-54	Year 10	M	4192
Greater Hobart	45-54	Year 11	F	1330
Greater Hobart	45-54	Year 11	M	1262
Greater Hobart	45-54	Year 12	F	8937
Greater Hobart	45-54	Year 12	M	7441
Greater Hobart	55-64		F	639
Greater Hobart	55-64		M	699
Greater Hobart	55-64	Did not go to school	F	87
Greater Hobart	55-64	Did not go to school	M	90
Greater Hobart	55-64	Year 8 or below	F	275
Greater Hobart	55-64	Year 8 or below	M	345
Greater Hobart	55-64	Year 9	F	751
Greater Hobart	55-64	Year 9	M	911
Greater Hobart	55-64	Year 10	F	5659
Greater Hobart	55-64	Year 10	M	5477
Greater Hobart	55-64	Year 11	F	1219
Greater Hobart	55-64	Year 11	M	896
Greater Hobart	55-64	Year 12	F	7033
Greater Hobart	55-64	Year 12	M	5852
Greater Hobart	65-74		F	831
Greater Hobart	65-74		M	727
Greater Hobart	65-74	Did not go to school	F	67
Greater Hobart	65-74	Did not go to school	M	90
Greater Hobart	65-74	Year 8 or below	F	521
Greater Hobart	65-74	Year 8 or below	M	590
Greater Hobart	65-74	Year 9	F	1532
Greater Hobart	65-74	Year 9	M	1251
Greater Hobart	65-74	Year 10	F	4974
Greater Hobart	65-74	Year 10	M	3966
Greater Hobart	65-74	Year 11	F	786
Greater Hobart	65-74	Year 11	M	517
Greater Hobart	65-74	Year 12	F	5093
Greater Hobart	65-74	Year 12	M	5189
Greater Hobart	75-84		F	770
Greater Hobart	75-84		M	584
Greater Hobart	75-84	Did not go to school	F	55
Greater Hobart	75-84	Did not go to school	M	44
Greater Hobart	75-84	Year 8 or below	F	739
Greater Hobart	75-84	Year 8 or below	M	721
Greater Hobart	75-84	Year 9	F	1289
Greater Hobart	75-84	Year 9	M	998
Greater Hobart	75-84	Year 10	F	2617
Greater Hobart	75-84	Year 10	M	1766
Greater Hobart	75-84	Year 11	F	375
Greater Hobart	75-84	Year 11	M	287
Greater Hobart	75-84	Year 12	F	2175
Greater Hobart	75-84	Year 12	M	2168
Greater Hobart	85+		F	457
Greater Hobart	85+		M	258
Greater Hobart	85+	Did not go to school	F	32
Greater Hobart	85+	Did not go to school	M	19
Greater Hobart	85+	Year 8 or below	F	774
Greater Hobart	85+	Year 8 or below	M	395
Greater Hobart	85+	Year 9	F	385
Greater Hobart	85+	Year 9	M	197
Greater Hobart	85+	Year 10	F	1035
Greater Hobart	85+	Year 10	M	484
Greater Hobart	85+	Year 11	F	114
Greater Hobart	85+	Year 11	M	89
Greater Hobart	85+	Year 12	F	729
Greater Hobart	85+	Year 12	M	665
Rest of Tas.	15-19		F	393
Rest of Tas.	15-19		M	472
Rest of Tas.	15-19	Did not go to school	F	7
Rest of Tas.	15-19	Did not go to school	M	14
Rest of Tas.	15-19	Year 8 or below	F	45
Rest of Tas.	15-19	Year 8 or below	M	48
Rest of Tas.	15-19	Year 9	F	97
Rest of Tas.	15-19	Year 9	M	137
Rest of Tas.	15-19	Year 10	F	681
Rest of Tas.	15-19	Year 10	M	1217
Rest of Tas.	15-19	Year 11	F	582
Rest of Tas.	15-19	Year 11	M	711
Rest of Tas.	15-19	Year 12	F	1598
Rest of Tas.	15-19	Year 12	M	1426
Rest of Tas.	20-24		F	461
Rest of Tas.	20-24		M	523
Rest of Tas.	20-24	Did not go to school	F	24
Rest of Tas.	20-24	Did not go to school	M	18
Rest of Tas.	20-24	Year 8 or below	F	38
Rest of Tas.	20-24	Year 8 or below	M	70
Rest of Tas.	20-24	Year 9	F	78
Rest of Tas.	20-24	Year 9	M	104
Rest of Tas.	20-24	Year 10	F	1099
Rest of Tas.	20-24	Year 10	M	1699
Rest of Tas.	20-24	Year 11	F	861
Rest of Tas.	20-24	Year 11	M	1013
Rest of Tas.	20-24	Year 12	F	5251
Rest of Tas.	20-24	Year 12	M	4807
Rest of Tas.	25-34		F	1041
Rest of Tas.	25-34		M	1198
Rest of Tas.	25-34	Did not go to school	F	81
Rest of Tas.	25-34	Did not go to school	M	87
Rest of Tas.	25-34	Year 8 or below	F	127
Rest of Tas.	25-34	Year 8 or below	M	192
Rest of Tas.	25-34	Year 9	F	239
Rest of Tas.	25-34	Year 9	M	366
Rest of Tas.	25-34	Year 10	F	3495
Rest of Tas.	25-34	Year 10	M	4822
Rest of Tas.	25-34	Year 11	F	2019
Rest of Tas.	25-34	Year 11	M	1867
Rest of Tas.	25-34	Year 12	F	11349
Rest of Tas.	25-34	Year 12	M	9767
Rest of Tas.	35-44		F	935
Rest of Tas.	35-44		M	1078
Rest of Tas.	35-44	Did not go to school	F	91
Rest of Tas.	35-44	Did not go to school	M	100
Rest of Tas.	35-44	Year 8 or below	F	169
Rest of Tas.	35-44	Year 8 or below	M	198
Rest of Tas.	35-44	Year 9	F	252
Rest of Tas.	35-44	Year 9	M	407
Rest of Tas.	35-44	Year 10	F	3923
Rest of Tas.	35-44	Year 10	M	4808
Rest of Tas.	35-44	Year 11	F	1906
Rest of Tas.	35-44	Year 11	M	1874
Rest of Tas.	35-44	Year 12	F	10424
Rest of Tas.	35-44	Year 12	M	7918
Rest of Tas.	45-54		F	1049
Rest of Tas.	45-54		M	1245
Rest of Tas.	45-54	Did not go to school	F	112
Rest of Tas.	45-54	Did not go to school	M	117
Rest of Tas.	45-54	Year 8 or below	F	192
Rest of Tas.	45-54	Year 8 or below	M	332
Rest of Tas.	45-54	Year 9	F	638
Rest of Tas.	45-54	Year 9	M	913
Rest of Tas.	45-54	Year 10	F	7655
Rest of Tas.	45-54	Year 10	M	8462
Rest of Tas.	45-54	Year 11	F	2179
Rest of Tas.	45-54	Year 11	M	1627
Rest of Tas.	45-54	Year 12	F	8515
Rest of Tas.	45-54	Year 12	M	6272
Rest of Tas.	55-64		F	1365
Rest of Tas.	55-64		M	1444
Rest of Tas.	55-64	Did not go to school	F	86
Rest of Tas.	55-64	Did not go to school	M	104
Rest of Tas.	55-64	Year 8 or below	F	469
Rest of Tas.	55-64	Year 8 or below	M	714
Rest of Tas.	55-64	Year 9	F	1671
Rest of Tas.	55-64	Year 9	M	2068
Rest of Tas.	55-64	Year 10	F	10060
Rest of Tas.	55-64	Year 10	M	10548
Rest of Tas.	55-64	Year 11	F	1993
Rest of Tas.	55-64	Year 11	M	1302
Rest of Tas.	55-64	Year 12	F	7611
Rest of Tas.	55-64	Year 12	M	5803
Rest of Tas.	65-74		F	1529
Rest of Tas.	65-74		M	1589
Rest of Tas.	65-74	Did not go to school	F	73
Rest of Tas.	65-74	Did not go to school	M	89
Rest of Tas.	65-74	Year 8 or below	F	969
Rest of Tas.	65-74	Year 8 or below	M	1414
Rest of Tas.	65-74	Year 9	F	3088
Rest of Tas.	65-74	Year 9	M	3250
Rest of Tas.	65-74	Year 10	F	7807
Rest of Tas.	65-74	Year 10	M	6996
Rest of Tas.	65-74	Year 11	F	1352
Rest of Tas.	65-74	Year 11	M	1059
Rest of Tas.	65-74	Year 12	F	5646
Rest of Tas.	65-74	Year 12	M	5815
Rest of Tas.	75-84		F	1417
Rest of Tas.	75-84		M	1144
Rest of Tas.	75-84	Did not go to school	F	64
Rest of Tas.	75-84	Did not go to school	M	65
Rest of Tas.	75-84	Year 8 or below	F	1155
Rest of Tas.	75-84	Year 8 or below	M	1395
Rest of Tas.	75-84	Year 9	F	2207
Rest of Tas.	75-84	Year 9	M	2123
Rest of Tas.	75-84	Year 10	F	3724
Rest of Tas.	75-84	Year 10	M	2916
Rest of Tas.	75-84	Year 11	F	483
Rest of Tas.	75-84	Year 11	M	476
Rest of Tas.	75-84	Year 12	F	2310
Rest of Tas.	75-84	Year 12	M	2532
Rest of Tas.	85+		F	763
Rest of Tas.	85+		M	513
Rest of Tas.	85+	Did not go to school	F	33
Rest of Tas.	85+	Did not go to school	M	40
Rest of Tas.	85+	Year 8 or below	F	1220
Rest of Tas.	85+	Year 8 or below	M	808
Rest of Tas.	85+	Year 9	F	552
Rest of Tas.	85+	Year 9	M	362
Rest of Tas.	85+	Year 10	F	1037
Rest of Tas.	85+	Year 10	M	556
Rest of Tas.	85+	Year 11	F	115
Rest of Tas.	85+	Year 11	M	102
Rest of Tas.	85+	Year 12	F	681
Rest of Tas.	85+	Year 12	M	577
No usual address (NT)	15-19		F	28
No usual address (NT)	15-19		M	12
No usual address (NT)	15-19	Year 10	F	11
No usual address (NT)	15-19	Year 11	F	6
No usual address (NT)	15-19	Year 11	M	7
No usual address (NT)	15-19	Year 12	F	3
No usual address (NT)	20-24		F	32
No usual address (NT)	20-24		M	41
No usual address (NT)	20-24	Year 8 or below	F	3
No usual address (NT)	20-24	Year 9	F	3
No usual address (NT)	20-24	Year 10	F	7
No usual address (NT)	20-24	Year 10	M	4
No usual address (NT)	20-24	Year 11	F	6
No usual address (NT)	20-24	Year 11	M	6
No usual address (NT)	20-24	Year 12	F	42
No usual address (NT)	20-24	Year 12	M	26
No usual address (NT)	25-34		F	123
No usual address (NT)	25-34		M	99
No usual address (NT)	25-34	Year 8 or below	F	11
No usual address (NT)	25-34	Year 8 or below	M	3
No usual address (NT)	25-34	Year 9	F	10
No usual address (NT)	25-34	Year 9	M	19
No usual address (NT)	25-34	Year 10	F	34
No usual address (NT)	25-34	Year 10	M	40
No usual address (NT)	25-34	Year 11	F	21
No usual address (NT)	25-34	Year 11	M	16
No usual address (NT)	25-34	Year 12	F	167
No usual address (NT)	25-34	Year 12	M	109
No usual address (NT)	35-44		F	92
No usual address (NT)	35-44		M	128
No usual address (NT)	35-44	Did not go to school	M	3
No usual address (NT)	35-44	Year 8 or below	F	15
No usual address (NT)	35-44	Year 8 or below	M	12
No usual address (NT)	35-44	Year 9	F	10
No usual address (NT)	35-44	Year 9	M	16
No usual address (NT)	35-44	Year 10	F	28
No usual address (NT)	35-44	Year 10	M	49
No usual address (NT)	35-44	Year 11	F	29
No usual address (NT)	35-44	Year 11	M	21
No usual address (NT)	35-44	Year 12	F	90
No usual address (NT)	35-44	Year 12	M	74
No usual address (NT)	45-54		F	133
No usual address (NT)	45-54		M	148
No usual address (NT)	45-54	Did not go to school	F	4
No usual address (NT)	45-54	Year 8 or below	F	14
No usual address (NT)	45-54	Year 8 or below	M	18
No usual address (NT)	45-54	Year 9	F	11
No usual address (NT)	45-54	Year 9	M	25
No usual address (NT)	45-54	Year 10	F	39
No usual address (NT)	45-54	Year 10	M	48
No usual address (NT)	45-54	Year 11	F	22
No usual address (NT)	45-54	Year 11	M	31
No usual address (NT)	45-54	Year 12	F	67
No usual address (NT)	45-54	Year 12	M	50
No usual address (NT)	55-64		F	114
No usual address (NT)	55-64		M	107
No usual address (NT)	55-64	Did not go to school	F	3
No usual address (NT)	55-64	Year 8 or below	F	6
No usual address (NT)	55-64	Year 8 or below	M	18
No usual address (NT)	55-64	Year 9	F	18
No usual address (NT)	55-64	Year 9	M	24
No usual address (NT)	55-64	Year 10	F	53
No usual address (NT)	55-64	Year 10	M	67
No usual address (NT)	55-64	Year 11	F	29
No usual address (NT)	55-64	Year 11	M	26
No usual address (NT)	55-64	Year 12	F	48
No usual address (NT)	55-64	Year 12	M	54
No usual address (NT)	65-74		F	39
No usual address (NT)	65-74		M	63
No usual address (NT)	65-74	Did not go to school	M	4
No usual address (NT)	65-74	Year 8 or below	F	5
No usual address (NT)	65-74	Year 8 or below	M	9
No usual address (NT)	65-74	Year 9	F	12
No usual address (NT)	65-74	Year 9	M	14
No usual address (NT)	65-74	Year 10	F	31
No usual address (NT)	65-74	Year 10	M	43
No usual address (NT)	65-74	Year 11	F	11
No usual address (NT)	65-74	Year 11	M	23
No usual address (NT)	65-74	Year 12	F	21
No usual address (NT)	65-74	Year 12	M	50
No usual address (NT)	75-84		F	3
No usual address (NT)	75-84		M	9
No usual address (NT)	75-84	Year 8 or below	F	4
No usual address (NT)	75-84	Year 8 or below	M	5
No usual address (NT)	75-84	Year 9	M	3
No usual address (NT)	75-84	Year 10	M	6
No usual address (NT)	75-84	Year 11	F	4
No usual address (NT)	75-84	Year 12	F	6
No usual address (NT)	75-84	Year 12	M	10
Migratory - Offshore - Shipping (NT)	15-19		M	6
Migratory - Offshore - Shipping (NT)	20-24	Year 11	M	3
Migratory - Offshore - Shipping (NT)	20-24	Year 12	F	3
Migratory - Offshore - Shipping (NT)	25-34		M	4
Migratory - Offshore - Shipping (NT)	25-34	Year 10	F	3
Migratory - Offshore - Shipping (NT)	25-34	Year 10	M	5
Migratory - Offshore - Shipping (NT)	25-34	Year 11	M	3
Migratory - Offshore - Shipping (NT)	25-34	Year 12	M	7
Migratory - Offshore - Shipping (NT)	35-44		M	4
Migratory - Offshore - Shipping (NT)	35-44	Year 9	M	4
Migratory - Offshore - Shipping (NT)	35-44	Year 10	M	3
Migratory - Offshore - Shipping (NT)	35-44	Year 12	M	6
Migratory - Offshore - Shipping (NT)	45-54		M	5
Migratory - Offshore - Shipping (NT)	45-54	Year 12	M	4
Migratory - Offshore - Shipping (NT)	55-64		M	3
Migratory - Offshore - Shipping (NT)	55-64	Year 9	M	3
Migratory - Offshore - Shipping (NT)	55-64	Year 10	M	3
Migratory - Offshore - Shipping (NT)	55-64	Year 12	M	4
Greater Darwin	15-19		F	300
Greater Darwin	15-19		M	304
Greater Darwin	15-19	Did not go to school	F	4
Greater Darwin	15-19	Did not go to school	M	7
Greater Darwin	15-19	Year 8 or below	F	23
Greater Darwin	15-19	Year 8 or below	M	40
Greater Darwin	15-19	Year 9	F	66
Greater Darwin	15-19	Year 9	M	88
Greater Darwin	15-19	Year 10	F	171
Greater Darwin	15-19	Year 10	M	308
Greater Darwin	15-19	Year 11	F	162
Greater Darwin	15-19	Year 11	M	256
Greater Darwin	15-19	Year 12	F	894
Greater Darwin	15-19	Year 12	M	852
Greater Darwin	20-24		F	380
Greater Darwin	20-24		M	514
Greater Darwin	20-24	Did not go to school	F	9
Greater Darwin	20-24	Did not go to school	M	23
Greater Darwin	20-24	Year 8 or below	F	12
Greater Darwin	20-24	Year 8 or below	M	20
Greater Darwin	20-24	Year 9	F	44
Greater Darwin	20-24	Year 9	M	50
Greater Darwin	20-24	Year 10	F	268
Greater Darwin	20-24	Year 10	M	490
Greater Darwin	20-24	Year 11	F	317
Greater Darwin	20-24	Year 11	M	477
Greater Darwin	20-24	Year 12	F	3104
Greater Darwin	20-24	Year 12	M	3304
Greater Darwin	25-34		F	1161
Greater Darwin	25-34		M	1337
Greater Darwin	25-34	Did not go to school	F	25
Greater Darwin	25-34	Did not go to school	M	61
Greater Darwin	25-34	Year 8 or below	F	78
Greater Darwin	25-34	Year 8 or below	M	107
Greater Darwin	25-34	Year 9	F	186
Greater Darwin	25-34	Year 9	M	211
Greater Darwin	25-34	Year 10	F	964
Greater Darwin	25-34	Year 10	M	1555
Greater Darwin	25-34	Year 11	F	844
Greater Darwin	25-34	Year 11	M	1127
Greater Darwin	25-34	Year 12	F	9932
Greater Darwin	25-34	Year 12	M	8346
Greater Darwin	35-44		F	954
Greater Darwin	35-44		M	1047
Greater Darwin	35-44	Did not go to school	F	63
Greater Darwin	35-44	Did not go to school	M	47
Greater Darwin	35-44	Year 8 or below	F	138
Greater Darwin	35-44	Year 8 or below	M	138
Greater Darwin	35-44	Year 9	F	203
Greater Darwin	35-44	Year 9	M	264
Greater Darwin	35-44	Year 10	F	1063
Greater Darwin	35-44	Year 10	M	1587
Greater Darwin	35-44	Year 11	F	858
Greater Darwin	35-44	Year 11	M	1061
Greater Darwin	35-44	Year 12	F	8000
Greater Darwin	35-44	Year 12	M	6661
Greater Darwin	45-54		F	758
Greater Darwin	45-54		M	995
Greater Darwin	45-54	Did not go to school	F	69
Greater Darwin	45-54	Did not go to school	M	73
Greater Darwin	45-54	Year 8 or below	F	193
Greater Darwin	45-54	Year 8 or below	M	216
Greater Darwin	45-54	Year 9	F	229
Greater Darwin	45-54	Year 9	M	322
Greater Darwin	45-54	Year 10	F	1346
Greater Darwin	45-54	Year 10	M	1848
Greater Darwin	45-54	Year 11	F	1084
Greater Darwin	45-54	Year 11	M	1286
Greater Darwin	45-54	Year 12	F	5350
Greater Darwin	45-54	Year 12	M	4623
Greater Darwin	55-64		F	609
Greater Darwin	55-64		M	748
Greater Darwin	55-64	Did not go to school	F	100
Greater Darwin	55-64	Did not go to school	M	60
Greater Darwin	55-64	Year 8 or below	F	284
Greater Darwin	55-64	Year 8 or below	M	273
Greater Darwin	55-64	Year 9	F	289
Greater Darwin	55-64	Year 9	M	386
Greater Darwin	55-64	Year 10	F	1554
Greater Darwin	55-64	Year 10	M	1932
Greater Darwin	55-64	Year 11	F	1138
Greater Darwin	55-64	Year 11	M	1236
Greater Darwin	55-64	Year 12	F	3166
Greater Darwin	55-64	Year 12	M	2853
Greater Darwin	65-74		F	439
Greater Darwin	65-74		M	506
Greater Darwin	65-74	Did not go to school	F	112
Greater Darwin	65-74	Did not go to school	M	68
Greater Darwin	65-74	Year 8 or below	F	377
Greater Darwin	65-74	Year 8 or below	M	395
Greater Darwin	65-74	Year 9	F	267
Greater Darwin	65-74	Year 9	M	312
Greater Darwin	65-74	Year 10	F	1090
Greater Darwin	65-74	Year 10	M	1154
Greater Darwin	65-74	Year 11	F	495
Greater Darwin	65-74	Year 11	M	499
Greater Darwin	65-74	Year 12	F	1725
Greater Darwin	65-74	Year 12	M	1918
Greater Darwin	75-84		F	218
Greater Darwin	75-84		M	226
Greater Darwin	75-84	Did not go to school	F	64
Greater Darwin	75-84	Did not go to school	M	44
Greater Darwin	75-84	Year 8 or below	F	277
Greater Darwin	75-84	Year 8 or below	M	289
Greater Darwin	75-84	Year 9	F	125
Greater Darwin	75-84	Year 9	M	150
Greater Darwin	75-84	Year 10	F	389
Greater Darwin	75-84	Year 10	M	342
Greater Darwin	75-84	Year 11	F	133
Greater Darwin	75-84	Year 11	M	132
Greater Darwin	75-84	Year 12	F	570
Greater Darwin	75-84	Year 12	M	652
Greater Darwin	85+		F	88
Greater Darwin	85+		M	75
Greater Darwin	85+	Did not go to school	F	24
Greater Darwin	85+	Did not go to school	M	22
Greater Darwin	85+	Year 8 or below	F	115
Greater Darwin	85+	Year 8 or below	M	80
Greater Darwin	85+	Year 9	F	32
Greater Darwin	85+	Year 9	M	27
Greater Darwin	85+	Year 10	F	75
Greater Darwin	85+	Year 10	M	51
Greater Darwin	85+	Year 11	F	22
Greater Darwin	85+	Year 11	M	13
Greater Darwin	85+	Year 12	F	101
Greater Darwin	85+	Year 12	M	102
Rest of NT	15-19		F	288
Rest of NT	15-19		M	318
Rest of NT	15-19	Did not go to school	F	30
Rest of NT	15-19	Did not go to school	M	36
Rest of NT	15-19	Year 8 or below	F	219
Rest of NT	15-19	Year 8 or below	M	272
Rest of NT	15-19	Year 9	F	228
Rest of NT	15-19	Year 9	M	297
Rest of NT	15-19	Year 10	F	377
Rest of NT	15-19	Year 10	M	540
Rest of NT	15-19	Year 11	F	252
Rest of NT	15-19	Year 11	M	301
Rest of NT	15-19	Year 12	F	520
Rest of NT	15-19	Year 12	M	416
Rest of NT	20-24		F	325
Rest of NT	20-24		M	403
Rest of NT	20-24	Did not go to school	F	30
Rest of NT	20-24	Did not go to school	M	50
Rest of NT	20-24	Year 8 or below	F	211
Rest of NT	20-24	Year 8 or below	M	239
Rest of NT	20-24	Year 9	F	243
Rest of NT	20-24	Year 9	M	283
Rest of NT	20-24	Year 10	F	549
Rest of NT	20-24	Year 10	M	669
Rest of NT	20-24	Year 11	F	444
Rest of NT	20-24	Year 11	M	468
Rest of NT	20-24	Year 12	F	1400
Rest of NT	20-24	Year 12	M	1202
Rest of NT	25-34		F	897
Rest of NT	25-34		M	1008
Rest of NT	25-34	Did not go to school	F	66
Rest of NT	25-34	Did not go to school	M	89
Rest of NT	25-34	Year 8 or below	F	427
Rest of NT	25-34	Year 8 or below	M	479
Rest of NT	25-34	Year 9	F	495
Rest of NT	25-34	Year 9	M	534
Rest of NT	25-34	Year 10	F	1267
Rest of NT	25-34	Year 10	M	1433
Rest of NT	25-34	Year 11	F	988
Rest of NT	25-34	Year 11	M	971
Rest of NT	25-34	Year 12	F	4236
Rest of NT	25-34	Year 12	M	3339
Rest of NT	35-44		F	714
Rest of NT	35-44		M	765
Rest of NT	35-44	Did not go to school	F	87
Rest of NT	35-44	Did not go to school	M	105
Rest of NT	35-44	Year 8 or below	F	403
Rest of NT	35-44	Year 8 or below	M	491
Rest of NT	35-44	Year 9	F	484
Rest of NT	35-44	Year 9	M	493
Rest of NT	35-44	Year 10	F	1120
Rest of NT	35-44	Year 10	M	1308
Rest of NT	35-44	Year 11	F	777
Rest of NT	35-44	Year 11	M	746
Rest of NT	35-44	Year 12	F	3003
Rest of NT	35-44	Year 12	M	2603
Rest of NT	45-54		F	626
Rest of NT	45-54		M	711
Rest of NT	45-54	Did not go to school	F	114
Rest of NT	45-54	Did not go to school	M	116
Rest of NT	45-54	Year 8 or below	F	440
Rest of NT	45-54	Year 8 or below	M	480
Rest of NT	45-54	Year 9	F	436
Rest of NT	45-54	Year 9	M	419
Rest of NT	45-54	Year 10	F	1063
Rest of NT	45-54	Year 10	M	1184
Rest of NT	45-54	Year 11	F	727
Rest of NT	45-54	Year 11	M	691
Rest of NT	45-54	Year 12	F	2192
Rest of NT	45-54	Year 12	M	1751
Rest of NT	55-64		F	538
Rest of NT	55-64		M	625
Rest of NT	55-64	Did not go to school	F	128
Rest of NT	55-64	Did not go to school	M	132
Rest of NT	55-64	Year 8 or below	F	417
Rest of NT	55-64	Year 8 or below	M	390
Rest of NT	55-64	Year 9	F	295
Rest of NT	55-64	Year 9	M	340
Rest of NT	55-64	Year 10	F	950
Rest of NT	55-64	Year 10	M	1123
Rest of NT	55-64	Year 11	F	622
Rest of NT	55-64	Year 11	M	580
Rest of NT	55-64	Year 12	F	1559
Rest of NT	55-64	Year 12	M	1283
Rest of NT	65-74		F	318
Rest of NT	65-74		M	363
Rest of NT	65-74	Did not go to school	F	167
Rest of NT	65-74	Did not go to school	M	119
Rest of NT	65-74	Year 8 or below	F	346
Rest of NT	65-74	Year 8 or below	M	358
Rest of NT	65-74	Year 9	F	165
Rest of NT	65-74	Year 9	M	204
Rest of NT	65-74	Year 10	F	490
Rest of NT	65-74	Year 10	M	556
Rest of NT	65-74	Year 11	F	210
Rest of NT	65-74	Year 11	M	229
Rest of NT	65-74	Year 12	F	597
Rest of NT	65-74	Year 12	M	672
Rest of NT	75-84		F	103
