GCCSA_NAME21	Age5yr	Indigenous	Sex	persons
No usual address (Qld)	20-24		M	90
No usual address (Qld)	20-24	0	F	331
No usual address (Qld)	20-24	0	M	298
No usual address (Qld)	20-24	1	F	65
No usual address (Qld)	20-24	1	M	54
No usual address (Qld)	25-29		F	187
No usual address (Qld)	25-29		M	135
No usual address (Qld)	25-29	0	F	528
No usual address (Qld)	25-29	0	M	452
No usual address (Qld)	25-29	1	F	50
No usual address (Qld)	25-29	1	M	55
No usual address (Qld)	30-34		F	103
No usual address (Qld)	30-34		M	150
No usual address (Qld)	30-34	0	F	426
No usual address (Qld)	30-34	0	M	447
No usual address (Qld)	30-34	1	F	52
No usual address (Qld)	30-34	1	M	64
No usual address (Qld)	35-39		F	93
No usual address (Qld)	35-39		M	146
No usual address (Qld)	35-39	0	F	321
No usual address (Qld)	35-39	0	M	408
No usual address (Qld)	35-39	1	F	38
No usual address (Qld)	35-39	1	M	63
No usual address (Qld)	40-44		F	93
No usual address (Qld)	40-44		M	138
No usual address (Qld)	40-44	0	F	291
No usual address (Qld)	40-44	0	M	375
No usual address (Qld)	40-44	1	F	44
No usual address (Qld)	40-44	1	M	68
No usual address (Qld)	45-49		F	92
No usual address (Qld)	45-49		M	143
No usual address (Qld)	45-49	0	F	286
No usual address (Qld)	45-49	0	M	370
No usual address (Qld)	45-49	1	F	26
No usual address (Qld)	45-49	1	M	60
No usual address (Qld)	50-54		F	78
No usual address (Qld)	50-54		M	100
No usual address (Qld)	50-54	0	F	363
No usual address (Qld)	50-54	0	M	322
No usual address (Qld)	50-54	1	F	31
No usual address (Qld)	50-54	1	M	56
No usual address (Qld)	55-59		F	77
No usual address (Qld)	55-59		M	123
No usual address (Qld)	55-59	0	F	426
No usual address (Qld)	55-59	0	M	431
No usual address (Qld)	55-59	1	F	17
No usual address (Qld)	55-59	1	M	28
No usual address (Qld)	60-64		F	75
No usual address (Qld)	60-64		M	93
No usual address (Qld)	60-64	0	F	549
No usual address (Qld)	60-64	0	M	599
No usual address (Qld)	60-64	1	F	22
No usual address (Qld)	60-64	1	M	27
No usual address (Qld)	65+		F	113
No usual address (Qld)	65+		M	187
No usual address (Qld)	65+	0	F	928
No usual address (Qld)	65+	0	M	1348
No usual address (Qld)	65+	1	F	20
No usual address (Qld)	65+	1	M	26
Migratory - Offshore - Shipping (Qld)	20-24		F	4
Migratory - Offshore - Shipping (Qld)	20-24		M	4
Migratory - Offshore - Shipping (Qld)	25-29		F	6
Migratory - Offshore - Shipping (Qld)	25-29		M	13
Migratory - Offshore - Shipping (Qld)	25-29	0	F	6
Migratory - Offshore - Shipping (Qld)	25-29	0	M	5
Migratory - Offshore - Shipping (Qld)	30-34		F	4
Migratory - Offshore - Shipping (Qld)	30-34		M	16
Migratory - Offshore - Shipping (Qld)	30-34	0	M	6
Migratory - Offshore - Shipping (Qld)	35-39		F	3
