SA2_NAME21	medianTotalHouseholdIncome
Tiwi	105144
Wagaman	108316
Wanguri	126828
Wulagi	121212
Howard Springs	126984
Humpty Doo	133588
Koolpinyah	55224
Virginia	111956
Weddell	102388
Bakewell	101660
Driver	103168
Durack - Marlow Lagoon	133744
Gray	76908
Moulden	78780
Palmerston - North	127140
Palmerston - South	131404
Rosebery - Bellamack	123552
Woodroffe	98332
Charles	105352
East Side	106184
Flynn (NT)	111644
Larapinta	117884
Mount Johns	118976
Petermann - Simpson	64896
Ross	101556
Sandover - Plenty	58916
Tanami	66404
Yuendumu - Anmatjere	56732
Barkly	60944
Tennant Creek	87204
Alligator	66508
Daly	61464
Thamarrurr	40924
Tiwi Islands	39364
West Arnhem	71188
Anindilyakwa	83096
East Arnhem	80704
Nhulunbuy	145548
Elsey	72228
Gulf	66612
Katherine	109772
Victoria River	56940
Migratory - Offshore - Shipping (NT)	10823800
No usual address (NT)	
Aranda	164372
Belconnen	92352
Bruce	117832
Charnwood	94536
Cook	117988
Dunlop	130156
Evatt	126256
Florey	108264
Flynn (ACT)	141856
Fraser	136136
Giralang	127244
Gooromon	364000
Hawker	117052
Higgins	116896
Holt	103116
Kaleen	121472
Latham	110500
Lawson	129584
Macgregor (ACT)	121888
Macquarie	101244
McKellar	139724
Melba	120952
Page	92196
Scullin	105300
Spence	122616
Weetangera	174148
Molonglo Corridor	247000
Macnamara	
Strathnairn	136708
West Belconnen	195000
Hume	61724
Kowen	194948
Canberra East	52156
Canberra Airport	115336
Majura	164112
Amaroo	143988
Bonner	146172
Casey	139360
Crace	146172
Forde	184756
Franklin	123916
Gungahlin	114816
Hall	139412
Harrison	137072
Mitchell	45448
Ngunnawal	115388
Nicholls	162968
Palmerston	120432
Gungahlin - East	
Gungahlin - West	
Jacka	112320
Kenny	71500
Moncrieff	140348
Taylor	138060
Throsby	165412
Acton	
Ainslie	126568
Braddon	117468
Civic	116064
Dickson	118404
Downer	117884
Hackett	136396
Lyneham	108368
O'Connor (ACT)	130936
Turner	121160
Watson	125528
Black Mountain	
Campbell	158496
Duntroon	161200
Parkes (ACT) - North	
Reid	118144
Russell	
Deakin	162084
Forrest	174876
Griffith (ACT)	132184
Lake Burley Griffin	
Narrabundah	122356
Parkes (ACT) - South	71500
Red Hill (ACT)	204776
Yarralumla	173004
Barton	128024
Fyshwick	71448
Kingston (ACT)	128388
Banks	125788
Bonython	115596
Calwell	127920
Chisholm	119184
Conder	133848
Fadden	171704
Gilmore	125632
Gordon (ACT)	120692
Gowrie (ACT)	139048
Greenway	96564
Isabella Plains	110812
Kambah	114764
Macarthur	157924
Monash	112528
Mount Taylor	
Oxley (ACT)	124436
Richardson	106236
Theodore	134576
Tuggeranong	101816
Wanniassa	119340
Tuggeranong - West	195000
Chapman	161772
Duffy	134836
Fisher	118300
Holder	121576
Rivett	114764
Stirling	114712
Waramanga	116844
Weston	122772
Scrivener	120848
Chifley	122044
Curtin	150072
Farrer	132080
Garran	155220
Hughes	145444
Isaacs	138840
Lyons (ACT)	107224
Mawson	114608
O'Malley	232752
Pearce	122824
Phillip	107900
Torrens	135824
Arboretum	58500
Coombs	136968
Denman Prospect	167388
Molonglo	
Wright	133068
Molonglo - East	
Whitlam	46800
ACT - South West	162968
Namadgi	146224
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	109668
Cocos (Keeling) Islands	130988
Jervis Bay	94900
Norfolk Island	61568
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
