SA2_NAME16	PrivateDwelling	Sex	persons
Corowa	1	M	2445
Corowa Surrounds	0	F	326
Corowa Surrounds	0	M	351
Corowa Surrounds	1	F	3168
Corowa Surrounds	1	M	3262
Deniliquin	0	F	415
Deniliquin	0	M	400
Deniliquin	1	F	3213
Deniliquin	1	M	2983
Deniliquin Surrounds	0	F	326
Deniliquin Surrounds	0	M	358
Deniliquin Surrounds	1	F	2949
Deniliquin Surrounds	1	M	3096
Moama	0	F	249
Moama	0	M	266
Moama	1	F	3224
Moama	1	M	3009
Tocumwal - Finley - Jerilderie	0	F	563
Tocumwal - Finley - Jerilderie	0	M	563
Tocumwal - Finley - Jerilderie	1	F	4266
Tocumwal - Finley - Jerilderie	1	M	4181
Armidale	0	F	1882
Armidale	0	M	1548
Armidale	1	F	10613
Armidale	1	M	9765
Armidale Surrounds - North	0	F	271
Armidale Surrounds - North	0	M	288
Armidale Surrounds - North	1	F	1920
Armidale Surrounds - North	1	M	2033
Armidale Surrounds - South	0	F	198
Armidale Surrounds - South	0	M	168
Armidale Surrounds - South	1	F	2854
Armidale Surrounds - South	1	M	2636
Walcha	0	F	194
Walcha	0	M	208
Walcha	1	F	1365
Walcha	1	M	1381
Glen Innes	0	F	498
Glen Innes	0	M	624
Glen Innes	1	F	3985
Glen Innes	1	M	3784
Inverell	0	F	621
Inverell	0	M	616
Inverell	1	F	5613
Inverell	1	M	5235
Inverell Surrounds - East	0	F	373
Inverell Surrounds - East	0	M	423
Inverell Surrounds - East	1	F	2174
Inverell Surrounds - East	1	M	2275
Inverell Surrounds - West	0	F	324
Inverell Surrounds - West	0	M	341
Inverell Surrounds - West	1	F	2550
Inverell Surrounds - West	1	M	2522
Tenterfield	0	F	465
Tenterfield	0	M	463
Tenterfield	1	F	3084
Tenterfield	1	M	2980
Moree	0	F	921
Moree	0	M	971
Moree	1	F	3242
Moree	1	M	3157
Moree Surrounds	0	F	674
Moree Surrounds	0	M	762
Moree Surrounds	1	F	1944
Moree Surrounds	1	M	2065
Narrabri	0	F	365
Narrabri	0	M	535
Narrabri	1	F	3191
Narrabri	1	M	3067
Narrabri Surrounds	0	F	354
Narrabri Surrounds	0	M	399
Narrabri Surrounds	1	F	1876
Narrabri Surrounds	1	M	2016
Gunnedah	0	F	472
Gunnedah	0	M	530
Gunnedah	1	F	4491
Gunnedah	1	M	4355
Gunnedah Surrounds	0	F	233
Gunnedah Surrounds	0	M	376
Gunnedah Surrounds	1	F	1929
Gunnedah Surrounds	1	M	1993
