SA2_NAME21	medianTotalPersonalIncome
Moil	48828
Nightcliff	62556
Rapid Creek	63908
Tiwi	49296
Wagaman	44928
Wanguri	50804
Wulagi	54704
Howard Springs	61620
Humpty Doo	59540
Koolpinyah	23400
Virginia	56992
Weddell	50804
Bakewell	57408
Driver	52572
Durack - Marlow Lagoon	67808
Gray	45604
Moulden	44252
Palmerston - North	61464
Palmerston - South	66976
Rosebery - Bellamack	62088
Woodroffe	52624
Charles	55796
East Side	58136
Flynn (NT)	56056
Larapinta	61880
Mount Johns	67912
Petermann - Simpson	41964
Ross	49296
Sandover - Plenty	18512
Tanami	13988
Yuendumu - Anmatjere	14300
Barkly	21632
Tennant Creek	34892
Alligator	35880
Daly	16016
Thamarrurr	9880
Tiwi Islands	12480
West Arnhem	13520
Anindilyakwa	17472
East Arnhem	15496
Nhulunbuy	78312
Elsey	17368
Gulf	14352
Katherine	55588
Victoria River	16172
Migratory - Offshore - Shipping (NT)	76856
No usual address (NT)	
Aranda	71344
Belconnen	52468
Bruce	53404
Charnwood	49296
Cook	66976
Dunlop	61152
Evatt	59748
Florey	53196
Flynn (ACT)	60996
Fraser	60528
Giralang	59436
Gooromon	4810000
Hawker	60788
Higgins	54756
Holt	54132
Kaleen	54600
Latham	56628
Lawson	61880
Macgregor (ACT)	60944
Macquarie	56056
McKellar	60320
Melba	58136
Page	48464
Scullin	54132
Spence	58500
Weetangera	69264
Molonglo Corridor	46800
Macnamara	
Strathnairn	64272
West Belconnen	68900
Hume	37700
Kowen	46800
Canberra East	38792
Canberra Airport	63180
Majura	60372
Amaroo	62764
Bonner	61516
Casey	70148
Crace	72540
Forde	80496
Franklin	58292
Gungahlin	54548
Hall	57720
Harrison	62764
Mitchell	29900
Ngunnawal	58448
Nicholls	65052
Palmerston	58968
Gungahlin - East	
Gungahlin - West	
Jacka	60372
Kenny	39624
Moncrieff	63544
Taylor	57876
Throsby	69784
Acton	13364
Ainslie	64272
Braddon	78624
Civic	55952
Dickson	67756
Downer	58500
Hackett	70772
Lyneham	62400
O'Connor (ACT)	65572
Turner	75296
Watson	70408
Black Mountain	
Campbell	82784
Duntroon	50024
Parkes (ACT) - North	11700
Reid	69420
Russell	
Deakin	82004
Forrest	94432
Griffith (ACT)	81744
Lake Burley Griffin	
Narrabundah	65000
Parkes (ACT) - South	42848
Red Hill (ACT)	76388
Yarralumla	82732
Barton	92300
Fyshwick	31148
Kingston (ACT)	92404
Banks	60736
Bonython	59020
Calwell	61984
Chisholm	56576
Conder	61308
Fadden	73580
Gilmore	60528
Gordon (ACT)	60164
Gowrie (ACT)	62764
Greenway	62244
Isabella Plains	56368
Kambah	55640
Macarthur	69368
Monash	56940
Mount Taylor	
Oxley (ACT)	58864
Richardson	52624
Theodore	62140
Tuggeranong	62816
Wanniassa	58604
Tuggeranong - West	54184
Chapman	71656
Duffy	65052
Fisher	62712
Holder	66196
Rivett	57876
Stirling	53040
Waramanga	61308
Weston	64584
Scrivener	94224
Chifley	61932
Curtin	69732
Farrer	63596
Garran	70148
Hughes	67496
Isaacs	67964
Lyons (ACT)	57044
Mawson	60216
O'Malley	77844
Pearce	63544
Phillip	69784
Torrens	66872
Arboretum	84448
Coombs	70616
Denman Prospect	86060
Molonglo	
Wright	75192
Molonglo - East	
Whitlam	3900
ACT - South West	70616
Namadgi	66040
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	64116
Cocos (Keeling) Islands	38532
Jervis Bay	30420
Norfolk Island	38272
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
