SA2_NAME21	FamilyHousehold	IncomeHousehold.max	households
Goulburn	0		192
Goulburn	0	0	95
Goulburn	0	7875	41
Goulburn	0	15750	128
Goulburn	0	21000	226
Goulburn	0	26250	686
Goulburn	0	34125	400
Goulburn	0	42000	215
Goulburn	0	52500	292
Goulburn	0	65625	307
Goulburn	0	78750	193
Goulburn	0	91875	165
Goulburn	0	105000	113
Goulburn	0	131250	194
Goulburn	0	157500	28
Goulburn	0	183750	35
Goulburn	0	210000	5
Goulburn	0	Inf	43
Goulburn	1		428
Goulburn	1	0	54
Goulburn	1	7875	26
Goulburn	1	15750	17
Goulburn	1	21000	32
Goulburn	1	26250	95
Goulburn	1	34125	132
Goulburn	1	42000	452
Goulburn	1	52500	342
Goulburn	1	65625	412
Goulburn	1	78750	524
Goulburn	1	91875	392
Goulburn	1	105000	404
Goulburn	1	131250	858
Goulburn	1	157500	640
Goulburn	1	183750	460
Goulburn	1	210000	307
Goulburn	1	Inf	554
Goulburn Surrounds	0		73
Goulburn Surrounds	0	0	67
Goulburn Surrounds	0	7875	30
Goulburn Surrounds	0	15750	52
Goulburn Surrounds	0	21000	112
Goulburn Surrounds	0	26250	251
Goulburn Surrounds	0	34125	141
Goulburn Surrounds	0	42000	95
Goulburn Surrounds	0	52500	131
Goulburn Surrounds	0	65625	121
Goulburn Surrounds	0	78750	64
Goulburn Surrounds	0	91875	58
Goulburn Surrounds	0	105000	43
Goulburn Surrounds	0	131250	73
Goulburn Surrounds	0	157500	4
Goulburn Surrounds	0	183750	22
Goulburn Surrounds	0	Inf	32
Goulburn Surrounds	1		337
Goulburn Surrounds	1	0	47
Goulburn Surrounds	1	7875	33
Goulburn Surrounds	1	15750	26
Goulburn Surrounds	1	21000	12
Goulburn Surrounds	1	26250	80
Goulburn Surrounds	1	34125	78
Goulburn Surrounds	1	42000	229
Goulburn Surrounds	1	52500	209
Goulburn Surrounds	1	65625	222
Goulburn Surrounds	1	78750	304
Goulburn Surrounds	1	91875	213
Goulburn Surrounds	1	105000	214
Goulburn Surrounds	1	131250	464
Goulburn Surrounds	1	157500	336
Goulburn Surrounds	1	183750	265
Goulburn Surrounds	1	210000	174
Goulburn Surrounds	1	Inf	443
Yass	0		34
Yass	0	0	20
Yass	0	7875	7
Yass	0	15750	17
Yass	0	21000	49
Yass	0	26250	120
Yass	0	34125	77
Yass	0	42000	55
Yass	0	52500	70
Yass	0	65625	65
Yass	0	78750	37
Yass	0	91875	42
Yass	0	105000	41
Yass	0	131250	49
Yass	0	157500	5
Yass	0	183750	12
Yass	0	Inf	19
Yass	1		139
Yass	1	0	11
Yass	1	7875	7
Yass	1	15750	3
Yass	1	21000	4
Yass	1	26250	22
Yass	1	34125	22
Yass	1	42000	83
Yass	1	52500	91
Yass	1	65625	101
Yass	1	78750	141
Yass	1	91875	125
Yass	1	105000	111
Yass	1	131250	213
Yass	1	157500	188
Yass	1	183750	186
Yass	1	210000	114
Yass	1	Inf	236
Yass Surrounds	0		38
Yass Surrounds	0	0	27
Yass Surrounds	0	7875	10
Yass Surrounds	0	15750	17
Yass Surrounds	0	21000	36
Yass Surrounds	0	26250	79
Yass Surrounds	0	34125	71
Yass Surrounds	0	42000	49
Yass Surrounds	0	52500	61
Yass Surrounds	0	65625	92
Yass Surrounds	0	78750	51
Yass Surrounds	0	91875	54
Yass Surrounds	0	105000	38
Yass Surrounds	0	131250	59
Yass Surrounds	0	157500	6
Yass Surrounds	0	183750	12
Yass Surrounds	0	Inf	35
Yass Surrounds	1		270
Yass Surrounds	1	0	23
Yass Surrounds	1	7875	10
Yass Surrounds	1	15750	12
Yass Surrounds	1	21000	8
Yass Surrounds	1	26250	33
Yass Surrounds	1	34125	35
Yass Surrounds	1	42000	88
Yass Surrounds	1	52500	86
Yass Surrounds	1	65625	123
Yass Surrounds	1	78750	182
Yass Surrounds	1	91875	135
Yass Surrounds	1	105000	170
