SA3_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Clarence Valley	1	0	210000	307
Clarence Valley	1	0	Inf	624
Clarence Valley	1	1	15750	14
Clarence Valley	1	1	21000	6
Clarence Valley	1	1	26250	19
Clarence Valley	1	1	34125	26
Clarence Valley	1	1	42000	98
Coffs Harbour				13
Coffs Harbour			0	5
Coffs Harbour			7875	3
Coffs Harbour			15750	6
Coffs Harbour			21000	5
Coffs Harbour			26250	13
Coffs Harbour			34125	9
Coffs Harbour			42000	30
Coffs Harbour			52500	30
Coffs Harbour			65625	50
Coffs Harbour			78750	35
Coffs Harbour			91875	22
Coffs Harbour			105000	16
Coffs Harbour			131250	33
Coffs Harbour			157500	15
Coffs Harbour			183750	6
Coffs Harbour			Inf	7
Coffs Harbour	0			452
Coffs Harbour	0		0	53
Coffs Harbour	0		7875	30
Coffs Harbour	0		15750	47
Coffs Harbour	0		21000	106
Coffs Harbour	0		26250	182
Coffs Harbour	0		34125	395
Coffs Harbour	0		42000	469
Coffs Harbour	0		52500	562
Coffs Harbour	0		65625	587
Coffs Harbour	0		78750	550
Coffs Harbour	0		91875	357
Coffs Harbour	0		105000	248
Coffs Harbour	0		131250	341
Coffs Harbour	0		157500	113
Coffs Harbour	0		183750	73
Coffs Harbour	0		210000	23
Coffs Harbour	0		Inf	83
Coffs Harbour	1	0		1463
Coffs Harbour	1	0	0	217
Coffs Harbour	1	0	7875	100
Coffs Harbour	1	0	15750	73
Coffs Harbour	1	0	21000	57
Coffs Harbour	1	0	26250	310
Coffs Harbour	1	0	34125	215
Coffs Harbour	1	0	42000	1461
Coffs Harbour	1	0	52500	1203
Coffs Harbour	1	0	65625	1510
Coffs Harbour	1	0	78750	1897
Coffs Harbour	1	0	91875	1242
Coffs Harbour	1	0	105000	1376
Coffs Harbour	1	0	131250	2707
Coffs Harbour	1	0	157500	1955
Coffs Harbour	1	0	183750	1377
Coffs Harbour	1	0	210000	822
Coffs Harbour	1	0	Inf	1666
Coffs Harbour	1	1	7875	4
Coffs Harbour	1	1	15750	19
Coffs Harbour	1	1	21000	12
Coffs Harbour	1	1	26250	56
Coffs Harbour	1	1	34125	43
Coffs Harbour	1	1	42000	155
Bourke - Cobar - Coonamble				6
Bourke - Cobar - Coonamble			15750	7
Bourke - Cobar - Coonamble			26250	4
Bourke - Cobar - Coonamble			34125	10
Bourke - Cobar - Coonamble			42000	10
Bourke - Cobar - Coonamble			52500	12
Bourke - Cobar - Coonamble			65625	8
Bourke - Cobar - Coonamble			78750	11
Bourke - Cobar - Coonamble			91875	5
Bourke - Cobar - Coonamble			105000	7
Bourke - Cobar - Coonamble			131250	8
Bourke - Cobar - Coonamble			157500	10
Bourke - Cobar - Coonamble			183750	3
Bourke - Cobar - Coonamble			Inf	3
Bourke - Cobar - Coonamble	0			127
Bourke - Cobar - Coonamble	0		0	16
Bourke - Cobar - Coonamble	0		7875	3
Bourke - Cobar - Coonamble	0		15750	18
Bourke - Cobar - Coonamble	0		21000	37
Bourke - Cobar - Coonamble	0		26250	54
Bourke - Cobar - Coonamble	0		34125	98
Bourke - Cobar - Coonamble	0		42000	124
Bourke - Cobar - Coonamble	0		52500	115
Bourke - Cobar - Coonamble	0		65625	103
Bourke - Cobar - Coonamble	0		78750	78
Bourke - Cobar - Coonamble	0		91875	50
Bourke - Cobar - Coonamble	0		105000	33
Bourke - Cobar - Coonamble	0		131250	59
Bourke - Cobar - Coonamble	0		157500	21
Bourke - Cobar - Coonamble	0		183750	21
Bourke - Cobar - Coonamble	0		210000	6
Bourke - Cobar - Coonamble	0		Inf	22
Bourke - Cobar - Coonamble	1	0		535
Bourke - Cobar - Coonamble	1	0	0	89
Bourke - Cobar - Coonamble	1	0	7875	25
Bourke - Cobar - Coonamble	1	0	15750	5
Bourke - Cobar - Coonamble	1	0	21000	12
Bourke - Cobar - Coonamble	1	0	26250	52
Bourke - Cobar - Coonamble	1	0	34125	47
Bourke - Cobar - Coonamble	1	0	42000	220
Bourke - Cobar - Coonamble	1	0	52500	188
Bourke - Cobar - Coonamble	1	0	65625	223
Bourke - Cobar - Coonamble	1	0	78750	289
Bourke - Cobar - Coonamble	1	0	91875	166
Bourke - Cobar - Coonamble	1	0	105000	222
Bourke - Cobar - Coonamble	1	0	131250	489
Bourke - Cobar - Coonamble	1	0	157500	349
Bourke - Cobar - Coonamble	1	0	183750	277
Bourke - Cobar - Coonamble	1	0	210000	157
Bourke - Cobar - Coonamble	1	0	Inf	380
Bourke - Cobar - Coonamble	1	1	7875	8
