CED_NAME16	EduInstitutionType	Sex	students
Ballarat		F	4914
Ballarat		M	4707
Ballarat	Infants/Primary	F	6088
Ballarat	Infants/Primary	M	6481
Ballarat	Pre-school	F	1575
Ballarat	Pre-school	M	1682
Ballarat	Secondary	F	5166
Ballarat	Secondary	M	5079
Ballarat	Technical or Further Educational Institution	F	1636
Ballarat	Technical or Further Educational Institution	M	1527
Ballarat	University or other tertiary	F	3711
Ballarat	University or other tertiary	M	2069
Bendigo		F	5449
Bendigo		M	5564
Bendigo	Infants/Primary	F	5933
Bendigo	Infants/Primary	M	6328
Bendigo	Pre-school	F	1495
Bendigo	Pre-school	M	1615
Bendigo	Secondary	F	4691
Bendigo	Secondary	M	4776
Bendigo	Technical or Further Educational Institution	F	1835
Bendigo	Technical or Further Educational Institution	M	1574
Bendigo	University or other tertiary	F	3082
Bendigo	University or other tertiary	M	1534
Bruce		F	6142
Bruce		M	6324
Bruce	Infants/Primary	F	6948
Bruce	Infants/Primary	M	7487
Bruce	Pre-school	F	1699
Bruce	Pre-school	M	1835
Bruce	Secondary	F	6159
Bruce	Secondary	M	6315
Bruce	Technical or Further Educational Institution	F	2668
Bruce	Technical or Further Educational Institution	M	2376
Bruce	University or other tertiary	F	4493
Bruce	University or other tertiary	M	3527
Calwell		F	7381
Calwell		M	7326
Calwell	Infants/Primary	F	9201
Calwell	Infants/Primary	M	9713
Calwell	Pre-school	F	2238
Calwell	Pre-school	M	2500
Calwell	Secondary	F	6848
Calwell	Secondary	M	6926
Calwell	Technical or Further Educational Institution	F	2859
Calwell	Technical or Further Educational Institution	M	2774
Calwell	University or other tertiary	F	4871
Calwell	University or other tertiary	M	3448
Casey		F	3496
Casey		M	3503
Casey	Infants/Primary	F	6347
Casey	Infants/Primary	M	6865
Casey	Pre-school	F	1800
Casey	Pre-school	M	1932
Casey	Secondary	F	5276
Casey	Secondary	M	5469
Casey	Technical or Further Educational Institution	F	1894
Casey	Technical or Further Educational Institution	M	1935
Casey	University or other tertiary	F	3285
Casey	University or other tertiary	M	1855
Chisholm		F	4757
Chisholm		M	4803
Chisholm	Infants/Primary	F	6595
Chisholm	Infants/Primary	M	6819
Chisholm	Pre-school	F	1555
