CED_NAME16	Age5yr	ChildrenEverBorn	females
Bradfield	65-69	5	53
Bradfield	65-69	6	15
Bradfield	70-74		125
Bradfield	70-74	0	396
Bradfield	70-74	1	602
Bradfield	70-74	2	1640
Bradfield	70-74	3	908
Bradfield	70-74	4	255
Bradfield	70-74	5	49
Bradfield	70-74	6	33
Bradfield	75-79		124
Bradfield	75-79	0	327
Bradfield	75-79	1	314
Bradfield	75-79	2	1300
Bradfield	75-79	3	814
Bradfield	75-79	4	265
Bradfield	75-79	5	68
Bradfield	75-79	6	32
Bradfield	80-84		181
Bradfield	80-84	0	190
Bradfield	80-84	1	172
Bradfield	80-84	2	821
Bradfield	80-84	3	710
Bradfield	80-84	4	302
Bradfield	80-84	5	85
Bradfield	80-84	6	38
Bradfield	85+		371
Bradfield	85+	0	275
Bradfield	85+	1	273
Bradfield	85+	2	871
Bradfield	85+	3	792
Bradfield	85+	4	461
Bradfield	85+	5	145
Bradfield	85+	6	124
Calare	15-19		489
Calare	15-19	0	4257
Calare	15-19	1	49
Calare	15-19	2	9
Calare	20-24		388
Calare	20-24	0	3242
Calare	20-24	1	437
Calare	20-24	2	183
Calare	20-24	3	34
Calare	20-24	4	6
Calare	25-29		354
Calare	25-29	0	2578
Calare	25-29	1	860
Calare	25-29	2	713
Calare	25-29	3	305
Calare	25-29	4	88
Calare	25-29	5	25
Calare	25-29	6	11
Calare	30-34		376
Calare	30-34	0	1451
Calare	30-34	1	977
Calare	30-34	2	1409
Calare	30-34	3	720
Calare	30-34	4	231
Calare	30-34	5	65
Calare	30-34	6	42
Calare	35-39		334
Calare	35-39	0	869
Calare	35-39	1	673
Calare	35-39	2	1596
Calare	35-39	3	1013
Calare	35-39	4	370
Calare	35-39	5	122
Calare	35-39	6	86
Calare	40-44		340
Calare	40-44	0	594
Calare	40-44	1	537
Calare	40-44	2	1546
Calare	40-44	3	1082
Calare	40-44	4	433
Calare	40-44	5	115
Calare	40-44	6	117
Calare	45-49		373
Calare	45-49	0	654
Calare	45-49	1	575
Calare	45-49	2	1727
Calare	45-49	3	1191
Calare	45-49	4	473
Calare	45-49	5	149
Calare	45-49	6	111
Calare	50-54		357
Calare	50-54	0	681
Calare	50-54	1	555
Calare	50-54	2	1824
Calare	50-54	3	1233
Calare	50-54	4	505
Calare	50-54	5	159
Calare	50-54	6	106
Calare	55-59		352
Calare	55-59	0	697
Calare	55-59	1	557
Calare	55-59	2	1791
Calare	55-59	3	1321
Calare	55-59	4	547
Calare	55-59	5	164
Calare	55-59	6	99
Calare	60-64		354
Calare	60-64	0	658
Calare	60-64	1	520
Calare	60-64	2	1754
Calare	60-64	3	1343
Calare	60-64	4	634
Calare	60-64	5	187
Calare	60-64	6	73
Calare	65-69		327
Calare	65-69	0	480
Calare	65-69	1	422
Calare	65-69	2	1591
Calare	65-69	3	1231
Calare	65-69	4	536
Calare	65-69	5	133
Calare	65-69	6	86
Calare	70-74		394
Calare	70-74	0	412
Calare	70-74	1	375
Calare	70-74	2	1542
Calare	70-74	3	1142
Calare	70-74	4	578
Calare	70-74	5	166
Calare	70-74	6	84
Calare	75-79		348
Calare	75-79	0	281
Calare	75-79	1	224
Calare	75-79	2	974
Calare	75-79	3	876
Calare	75-79	4	434
Calare	75-79	5	163
Calare	75-79	6	88
Calare	80-84		272
Calare	80-84	0	191
Calare	80-84	1	113
Calare	80-84	2	516
Calare	80-84	3	552
Calare	80-84	4	370
Calare	80-84	5	140
Calare	80-84	6	134
Calare	85+		337
Calare	85+	0	218
Calare	85+	1	149
Calare	85+	2	504
Calare	85+	3	529
Calare	85+	4	384
Calare	85+	5	209
Calare	85+	6	195
Chifley	15-19		678
Chifley	15-19	0	5317
Chifley	15-19	1	66
Chifley	15-19	2	12
Chifley	20-24		677
Chifley	20-24	0	5168
Chifley	20-24	1	486
Chifley	20-24	2	216
Chifley	20-24	3	60
Chifley	20-24	4	16
Chifley	20-24	6	6
Chifley	25-29		695
Chifley	25-29	0	4158
Chifley	25-29	1	1266
Chifley	25-29	2	848
Chifley	25-29	3	318
Chifley	25-29	4	120
Chifley	25-29	5	37
Chifley	25-29	6	14
Chifley	30-34		627
Chifley	30-34	0	2379
Chifley	30-34	1	2241
Chifley	30-34	2	2086
Chifley	30-34	3	808
Chifley	30-34	4	313
Chifley	30-34	5	90
Chifley	30-34	6	65
Chifley	35-39		620
Chifley	35-39	0	1255
Chifley	35-39	1	1836
Chifley	35-39	2	3208
Chifley	35-39	3	1162
Chifley	35-39	4	486
Chifley	35-39	5	200
Chifley	35-39	6	135
Chifley	40-44		467
Chifley	40-44	0	797
Chifley	40-44	1	1137
Chifley	40-44	2	2409
Chifley	40-44	3	1195
Chifley	40-44	4	532
Chifley	40-44	5	190
Chifley	40-44	6	209
Chifley	45-49		408
Chifley	45-49	0	682
Chifley	45-49	1	823
Chifley	45-49	2	1973
Chifley	45-49	3	1162
Chifley	45-49	4	530
Chifley	45-49	5	216
Chifley	45-49	6	219
Chifley	50-54		353
Chifley	50-54	0	576
Chifley	50-54	1	772
Chifley	50-54	2	1828
Chifley	50-54	3	1119
Chifley	50-54	4	546
Chifley	50-54	5	256
Chifley	50-54	6	202
Chifley	55-59		272
Chifley	55-59	0	524
Chifley	55-59	1	615
Chifley	55-59	2	1739
Chifley	55-59	3	1156
Chifley	55-59	4	549
Chifley	55-59	5	221
Chifley	55-59	6	187
Chifley	60-64		297
Chifley	60-64	0	431
Chifley	60-64	1	538
Chifley	60-64	2	1517
Chifley	60-64	3	1120
Chifley	60-64	4	563
Chifley	60-64	5	193
Chifley	60-64	6	176
Chifley	65-69		264
Chifley	65-69	0	294
Chifley	65-69	1	404
Chifley	65-69	2	1299
Chifley	65-69	3	963
Chifley	65-69	4	512
Chifley	65-69	5	199
Chifley	65-69	6	155
Chifley	70-74		300
Chifley	70-74	0	210
Chifley	70-74	1	306
Chifley	70-74	2	1019
Chifley	70-74	3	849
Chifley	70-74	4	464
Chifley	70-74	5	172
Chifley	70-74	6	160
Chifley	75-79		212
Chifley	75-79	0	110
Chifley	75-79	1	161
Chifley	75-79	2	560
Chifley	75-79	3	535
Chifley	75-79	4	311
Chifley	75-79	5	116
Chifley	75-79	6	137
Chifley	80-84		187
Chifley	80-84	0	79
Chifley	80-84	1	92
Chifley	80-84	2	313
Chifley	80-84	3	292
Chifley	80-84	4	227
Chifley	80-84	5	114
Chifley	80-84	6	137
Chifley	85+		329
Chifley	85+	0	100
Chifley	85+	1	154
Chifley	85+	2	306
Chifley	85+	3	243
Chifley	85+	4	181
Chifley	85+	5	119
Chifley	85+	6	204
Cook	15-19		243
Cook	15-19	0	3917
Cook	15-19	1	4
Cook	20-24		248
Cook	20-24	0	3781
Cook	20-24	1	71
Cook	20-24	2	16
Cook	25-29		263
Cook	25-29	0	3501
Cook	25-29	1	452
Cook	25-29	2	160
Cook	25-29	3	33
Cook	25-29	4	11
Cook	25-29	6	4
Cook	30-34		278
Cook	30-34	0	2244
Cook	30-34	1	1087
Cook	30-34	2	965
Cook	30-34	3	244
Cook	30-34	4	41
Cook	30-34	5	14
Cook	35-39		226
Cook	35-39	0	1228
Cook	35-39	1	1026
Cook	35-39	2	1814
Cook	35-39	3	657
Cook	35-39	4	127
