CED_NAME21	MaxSchoolingCompleted	adults
Kennedy	Year 10	36747
Kennedy	Year 11	11614
Kennedy	Year 12	56376
Leichhardt	Did not go to school	990
Leichhardt	Year 8	4760
Leichhardt	Year 9	6697
Leichhardt	Year 10	28073
Leichhardt	Year 11	12750
Leichhardt	Year 12	73526
Lilley	Did not go to school	670
Lilley	Year 8	4744
Lilley	Year 9	4345
Lilley	Year 10	21498
Lilley	Year 11	7854
Lilley	Year 12	87558
Longman	Did not go to school	637
Longman	Year 8	7031
Longman	Year 9	9811
Longman	Year 10	41898
Longman	Year 11	13124
Longman	Year 12	68205
Maranoa	Did not go to school	582
Maranoa	Year 8	8595
Maranoa	Year 9	8462
Maranoa	Year 10	35207
Maranoa	Year 11	8843
Maranoa	Year 12	47952
McPherson	Did not go to school	394
McPherson	Year 8	3288
McPherson	Year 9	5848
McPherson	Year 10	27247
McPherson	Year 11	10498
McPherson	Year 12	78827
Moncrieff	Did not go to school	626
Moncrieff	Year 8	3952
Moncrieff	Year 9	6427
Moncrieff	Year 10	27811
Moncrieff	Year 11	11899
Moncrieff	Year 12	92799
Moreton	Did not go to school	1703
Moreton	Year 8	4460
Moreton	Year 9	3983
Moreton	Year 10	15695
Moreton	Year 11	6312
Moreton	Year 12	99452
Oxley	Did not go to school	2407
Oxley	Year 8	5637
Oxley	Year 9	5870
Oxley	Year 10	25201
Oxley	Year 11	10027
Oxley	Year 12	87867
Petrie	Did not go to school	723
Petrie	Year 8	5866
Petrie	Year 9	7298
Petrie	Year 10	32483
Petrie	Year 11	11536
Petrie	Year 12	82513
Rankin	Did not go to school	2813
Rankin	Year 8	6307
Rankin	Year 9	7085
Rankin	Year 10	26650
Rankin	Year 11	10428
Rankin	Year 12	81025
Ryan	Did not go to school	323
Ryan	Year 8	1969
Ryan	Year 9	3162
Ryan	Year 10	13202
Ryan	Year 11	6325
Ryan	Year 12	103411
Wide Bay	Did not go to school	392
Wide Bay	Year 8	6689
Wide Bay	Year 9	8315
Wide Bay	Year 10	36647
Wide Bay	Year 11	11009
Wide Bay	Year 12	55269
Wright	Did not go to school	692
Wright	Year 8	6062
Wright	Year 9	8665
Wright	Year 10	36959
Wright	Year 11	11922
Wright	Year 12	69687
No usual address (Qld)	Did not go to school	64
No usual address (Qld)	Year 8	428
No usual address (Qld)	Year 9	752
No usual address (Qld)	Year 10	2785
No usual address (Qld)	Year 11	1026
No usual address (Qld)	Year 12	4685
Migratory - Offshore - Shipping (Qld)	Year 10	15
Migratory - Offshore - Shipping (Qld)	Year 11	3
Migratory - Offshore - Shipping (Qld)	Year 12	29
Adelaide	Did not go to school	2822
Adelaide	Year 8	6893
Adelaide	Year 9	5150
Adelaide	Year 10	14391
Adelaide	Year 11	17535
Adelaide	Year 12	113460
Barker	Did not go to school	884
Barker	Year 8	8787
Barker	Year 9	9948
Barker	Year 10	28364
Barker	Year 11	29451
Barker	Year 12	54007
Boothby	Did not go to school	853
Boothby	Year 8	4658
Boothby	Year 9	5475
Boothby	Year 10	16993
Boothby	Year 11	20374
Boothby	Year 12	94359
Grey	Did not go to school	539
Grey	Year 8	8445
Grey	Year 9	9894
Grey	Year 10	28461
Grey	Year 11	31053
Grey	Year 12	50606
Hindmarsh	Did not go to school	1506
Hindmarsh	Year 8	7309
Hindmarsh	Year 9	6582
Hindmarsh	Year 10	19459
Hindmarsh	Year 11	22805
Hindmarsh	Year 12	82030
Kingston	Did not go to school	403
Kingston	Year 8	4152
Kingston	Year 9	6952
Kingston	Year 10	23853
Kingston	Year 11	26710
