CED_NAME21	Age.min	persons
Dobell	38	2048
Dobell	39	1997
Dobell	40	1984
Dobell	41	1936
Dobell	42	2000
Dobell	43	1906
Dobell	44	1865
Dobell	45	1902
Dobell	46	2001
Dobell	47	2069
Dobell	48	2127
Dobell	49	2175
Dobell	50	2181
Dobell	51	2141
Dobell	52	2073
Dobell	53	1892
Dobell	54	1898
Dobell	55	1929
Dobell	56	1946
Dobell	57	2090
Dobell	58	2051
Dobell	59	2101
Dobell	60	2023
Dobell	61	2020
Dobell	62	1915
Dobell	63	1966
Dobell	64	1882
Dobell	65	1888
Dobell	66	1845
Dobell	67	1828
Dobell	68	1805
Dobell	69	1821
Dobell	70	1677
Dobell	71	1631
Dobell	72	1689
Dobell	73	1725
Dobell	74	1832
Dobell	75	1402
Dobell	76	1375
Dobell	77	1294
Dobell	78	1223
Dobell	79	1149
Dobell	80	4515
Dobell	85	2804
Dobell	90	1542
Dobell	95	397
Dobell	100	56
Eden-Monaro	0	1674
Eden-Monaro	1	1774
Eden-Monaro	2	1742
Eden-Monaro	3	1865
Eden-Monaro	4	1783
Eden-Monaro	5	1938
Eden-Monaro	6	1861
Eden-Monaro	7	1904
Eden-Monaro	8	1927
Eden-Monaro	9	1961
Eden-Monaro	10	1969
Eden-Monaro	11	2075
Eden-Monaro	12	2100
Eden-Monaro	13	1998
Eden-Monaro	14	2002
Eden-Monaro	15	1961
Eden-Monaro	16	1910
Eden-Monaro	17	1783
Eden-Monaro	18	1603
Eden-Monaro	19	1463
Eden-Monaro	20	1431
Eden-Monaro	21	1437
Eden-Monaro	22	1595
Eden-Monaro	23	1495
Eden-Monaro	24	1538
Eden-Monaro	25	1596
Eden-Monaro	26	1687
Eden-Monaro	27	1762
Eden-Monaro	28	1878
Eden-Monaro	29	1971
Eden-Monaro	30	1985
Eden-Monaro	31	2057
Eden-Monaro	32	1960
Eden-Monaro	33	1948
Eden-Monaro	34	1999
Eden-Monaro	35	2057
Eden-Monaro	36	2021
Eden-Monaro	37	2022
Eden-Monaro	38	1942
Eden-Monaro	39	1992
Eden-Monaro	40	1946
Eden-Monaro	41	1852
Eden-Monaro	42	1908
Eden-Monaro	43	1837
Eden-Monaro	44	1801
Eden-Monaro	45	1935
Eden-Monaro	46	2034
Eden-Monaro	47	2144
Eden-Monaro	48	2156
Eden-Monaro	49	2276
Eden-Monaro	50	2445
Eden-Monaro	51	2254
Eden-Monaro	52	2328
Eden-Monaro	53	2211
Eden-Monaro	54	2214
Eden-Monaro	55	2234
Eden-Monaro	56	2222
Eden-Monaro	57	2339
Eden-Monaro	58	2406
Eden-Monaro	59	2396
Eden-Monaro	60	2496
Eden-Monaro	61	2418
Eden-Monaro	62	2384
Eden-Monaro	63	2341
Eden-Monaro	64	2293
Eden-Monaro	65	2249
Eden-Monaro	66	2178
Eden-Monaro	67	2030
Eden-Monaro	68	2132
Eden-Monaro	69	1928
Eden-Monaro	70	1897
Eden-Monaro	71	1893
Eden-Monaro	72	1790
Eden-Monaro	73	1775
Eden-Monaro	74	1793
Eden-Monaro	75	1374
Eden-Monaro	76	1314
Eden-Monaro	77	1255
Eden-Monaro	78	1053
Eden-Monaro	79	1010
Eden-Monaro	80	3842
Eden-Monaro	85	2105
Eden-Monaro	90	1023
Eden-Monaro	95	297
Eden-Monaro	100	31
Farrer	0	1972
Farrer	1	2084
Farrer	2	2036
Farrer	3	2105
Farrer	4	2039
Farrer	5	2131
Farrer	6	2126
Farrer	7	2132
Farrer	8	2218
Farrer	9	2227
Farrer	10	2079
Farrer	11	2230
Farrer	12	2228
Farrer	13	2220
Farrer	14	2279
Farrer	15	2211
Farrer	16	2219
Farrer	17	2121
Farrer	18	2021
Farrer	19	1732
Farrer	20	1705
Farrer	21	1704
Farrer	22	1845
Farrer	23	1770
Farrer	24	1921
Farrer	25	1855
Farrer	26	1999
Farrer	27	2142
Farrer	28	2105
Farrer	29	2029
Farrer	30	2129
Farrer	31	2085
Farrer	32	2051
Farrer	33	1949
Farrer	34	2020
Farrer	35	2021
Farrer	36	1979
Farrer	37	1996
Farrer	38	1949
Farrer	39	1959
Farrer	40	1927
Farrer	41	1897
Farrer	42	1938
Farrer	43	1920
Farrer	44	1875
Farrer	45	1906
Farrer	46	1875
Farrer	47	2109
Farrer	48	2023
Farrer	49	2215
Farrer	50	2271
Farrer	51	2135
Farrer	52	2224
Farrer	53	2078
Farrer	54	2154
Farrer	55	2091
Farrer	56	2128
Farrer	57	2254
Farrer	58	2382
Farrer	59	2414
Farrer	60	2449
Farrer	61	2473
Farrer	62	2460
Farrer	63	2377
Farrer	64	2286
Farrer	65	2280
Farrer	66	2230
Farrer	67	2170
Farrer	68	2161
Farrer	69	2080
Farrer	70	1961
Farrer	71	2057
Farrer	72	1957
Farrer	73	1859
Farrer	74	2067
Farrer	75	1590
Farrer	76	1469
Farrer	77	1452
Farrer	78	1302
Farrer	79	1231
Farrer	80	5075
Farrer	85	2858
Farrer	90	1404
Farrer	95	392
Farrer	100	47
Fowler	0	1841
Fowler	1	1995
Fowler	2	2010
Fowler	3	1927
Fowler	4	1960
Fowler	5	2064
Fowler	6	2044
Fowler	7	2109
Fowler	8	2249
Fowler	9	2171
Fowler	10	2070
Fowler	11	2101
Fowler	12	2082
Fowler	13	2226
Fowler	14	2196
Fowler	15	2217
Fowler	16	2218
Fowler	17	2235
Fowler	18	2381
Fowler	19	2187
Fowler	20	2490
Fowler	21	2503
Fowler	22	2423
Fowler	23	2443
Fowler	24	2601
Fowler	25	2651
Fowler	26	2686
Fowler	27	2556
