LGA_NAME16	Age	MaritalStatus	Sex	responses
Berrigan	25-34	Married	M	101
Berrigan	25-34	Separated	F	6
Berrigan	25-34	Separated	M	6
Berrigan	35-44	Divorced	F	35
Berrigan	35-44	Divorced	M	18
Berrigan	35-44	Married	F	252
Berrigan	35-44	Married	M	206
Berrigan	35-44	Separated	F	24
Berrigan	35-44	Separated	M	21
Berrigan	45-54	Divorced	F	65
Berrigan	45-54	Divorced	M	61
Berrigan	45-54	Married	F	272
Berrigan	45-54	Married	M	278
Berrigan	45-54	Separated	F	35
Berrigan	45-54	Separated	M	29
Berrigan	45-54	Widowed	F	7
Berrigan	55-64	Divorced	F	104
Berrigan	55-64	Divorced	M	102
Berrigan	55-64	Married	F	444
Berrigan	55-64	Married	M	341
Berrigan	55-64	Separated	F	39
Berrigan	55-64	Separated	M	25
Berrigan	55-64	Widowed	F	41
Berrigan	55-64	Widowed	M	9
Berrigan	65-74	Divorced	F	115
Berrigan	65-74	Divorced	M	143
Berrigan	65-74	Married	F	494
Berrigan	65-74	Married	M	543
Berrigan	65-74	Separated	F	32
Berrigan	65-74	Separated	M	41
Berrigan	65-74	Widowed	F	112
Berrigan	65-74	Widowed	M	47
Berrigan	75-84	Divorced	F	43
Berrigan	75-84	Divorced	M	45
Berrigan	75-84	Married	F	242
Berrigan	75-84	Married	M	297
Berrigan	75-84	Separated	F	8
Berrigan	75-84	Separated	M	15
Berrigan	75-84	Widowed	F	168
Berrigan	75-84	Widowed	M	62
Berrigan	85+	Divorced	F	3
Berrigan	85+	Divorced	M	5
Berrigan	85+	Married	F	35
Berrigan	85+	Married	M	92
Berrigan	85+	Separated	M	9
Berrigan	85+	Widowed	F	134
Berrigan	85+	Widowed	M	46
Blacktown	15-19	Married	F	15
Blacktown	15-19	Married	M	20
Blacktown	15-19	Separated	F	5
Blacktown	15-19	Separated	M	3
Blacktown	15-19	Widowed	F	5
Blacktown	15-19	Widowed	M	3
Blacktown	20-24	Divorced	F	26
Blacktown	20-24	Divorced	M	7
Blacktown	20-24	Married	F	985
Blacktown	20-24	Married	M	404
Blacktown	20-24	Separated	F	71
Blacktown	20-24	Separated	M	24
Blacktown	20-24	Widowed	F	6
Blacktown	20-24	Widowed	M	4
Blacktown	25-34	Divorced	F	603
Blacktown	25-34	Divorced	M	443
Blacktown	25-34	Married	F	16166
Blacktown	25-34	Married	M	11256
Blacktown	25-34	Separated	F	692
Blacktown	25-34	Separated	M	445
Blacktown	25-34	Widowed	F	45
Blacktown	25-34	Widowed	M	23
Blacktown	35-44	Divorced	F	1813
Blacktown	35-44	Divorced	M	1232
Blacktown	35-44	Married	F	25002
Blacktown	35-44	Married	M	25313
Blacktown	35-44	Separated	F	1340
Blacktown	35-44	Separated	M	958
Blacktown	35-44	Widowed	F	159
Blacktown	35-44	Widowed	M	48
Blacktown	45-54	Divorced	F	2909
Blacktown	45-54	Divorced	M	1893
Blacktown	45-54	Married	F	15493
Blacktown	45-54	Married	M	16787
Blacktown	45-54	Separated	F	1412
Blacktown	45-54	Separated	M	1132
Blacktown	45-54	Widowed	F	495
Blacktown	45-54	Widowed	M	155
Blacktown	55-64	Divorced	F	3022
Blacktown	55-64	Divorced	M	2035
Blacktown	55-64	Married	F	11890
Blacktown	55-64	Married	M	12905
Blacktown	55-64	Separated	F	1099
Blacktown	55-64	Separated	M	945
Blacktown	55-64	Widowed	F	1462
Blacktown	55-64	Widowed	M	309
Blacktown	65-74	Divorced	F	2160
Blacktown	65-74	Divorced	M	1475
Blacktown	65-74	Married	F	7937
Blacktown	65-74	Married	M	9246
Blacktown	65-74	Separated	F	633
Blacktown	65-74	Separated	M	613
Blacktown	65-74	Widowed	F	2902
Blacktown	65-74	Widowed	M	669
Blacktown	75-84	Divorced	F	838
Blacktown	75-84	Divorced	M	520
Blacktown	75-84	Married	F	2505
Blacktown	75-84	Married	M	4058
Blacktown	75-84	Separated	F	163
Blacktown	75-84	Separated	M	215
Blacktown	75-84	Widowed	F	2959
Blacktown	75-84	Widowed	M	810
Blacktown	85+	Divorced	F	194
Blacktown	85+	Divorced	M	89
Blacktown	85+	Married	F	372
Blacktown	85+	Married	M	828
Blacktown	85+	Separated	F	20
Blacktown	85+	Separated	M	30
Blacktown	85+	Widowed	F	2099
Blacktown	85+	Widowed	M	559
Bland	20-24	Married	F	6
Bland	20-24	Married	M	4
Bland	25-34	Married	F	130
Bland	25-34	Married	M	96
Bland	25-34	Separated	F	8
Bland	25-34	Separated	M	9
Bland	35-44	Divorced	F	16
Bland	35-44	Divorced	M	10
Bland	35-44	Married	F	204
Bland	35-44	Married	M	189
Bland	35-44	Separated	F	15
Bland	35-44	Separated	M	9
Bland	45-54	Divorced	F	49
Bland	45-54	Divorced	M	36
Bland	45-54	Married	F	203
Bland	45-54	Married	M	182
Bland	45-54	Separated	F	26
Bland	45-54	Separated	M	22
Bland	45-54	Widowed	F	10
Bland	45-54	Widowed	M	7
Bland	55-64	Divorced	F	45
Bland	55-64	Divorced	M	65
Bland	55-64	Married	F	251
Bland	55-64	Married	M	245
Bland	55-64	Separated	F	12
Bland	55-64	Separated	M	20
Bland	55-64	Widowed	F	25
Bland	55-64	Widowed	M	14
