LGA_NAME16	FamilyHousehold	IncomeHousehold.max	households
Canterbury-Bankstown	0	Inf	622
Canterbury-Bankstown	1		5930
Canterbury-Bankstown	1	0	1766
Canterbury-Bankstown	1	7875	415
Canterbury-Bankstown	1	15750	597
Canterbury-Bankstown	1	21000	722
Canterbury-Bankstown	1	26250	1981
Canterbury-Bankstown	1	34125	2180
Canterbury-Bankstown	1	42000	5832
Canterbury-Bankstown	1	52500	5026
Canterbury-Bankstown	1	65625	6177
Canterbury-Bankstown	1	78750	6981
Canterbury-Bankstown	1	91875	5115
Canterbury-Bankstown	1	105000	5218
Canterbury-Bankstown	1	131250	10420
Canterbury-Bankstown	1	157500	7839
Canterbury-Bankstown	1	183750	6101
Canterbury-Bankstown	1	210000	4221
Canterbury-Bankstown	1	Inf	11353
Carrathool	0		15
Carrathool	0	0	8
Carrathool	0	7875	3
Carrathool	0	15750	8
Carrathool	0	21000	19
Carrathool	0	26250	49
Carrathool	0	34125	25
Carrathool	0	42000	18
Carrathool	0	52500	20
Carrathool	0	65625	36
Carrathool	0	78750	22
Carrathool	0	91875	25
Carrathool	0	105000	14
Carrathool	0	131250	22
Carrathool	0	157500	7
Carrathool	0	183750	5
Carrathool	0	Inf	13
Carrathool	1		71
Carrathool	1	0	11
Carrathool	1	7875	4
Carrathool	1	15750	4
Carrathool	1	21000	4
Carrathool	1	26250	3
Carrathool	1	34125	19
Carrathool	1	42000	28
Carrathool	1	52500	40
Carrathool	1	65625	58
Carrathool	1	78750	47
Carrathool	1	91875	50
Carrathool	1	105000	41
Carrathool	1	131250	96
Carrathool	1	157500	58
Carrathool	1	183750	38
Carrathool	1	210000	32
Carrathool	1	Inf	52
Central Coast (NSW)	0		2093
Central Coast (NSW)	0	0	1393
Central Coast (NSW)	0	7875	503
Central Coast (NSW)	0	15750	1211
Central Coast (NSW)	0	21000	2737
Central Coast (NSW)	0	26250	7701
Central Coast (NSW)	0	34125	5312
Central Coast (NSW)	0	42000	2972
Central Coast (NSW)	0	52500	3460
Central Coast (NSW)	0	65625	3289
Central Coast (NSW)	0	78750	2303
Central Coast (NSW)	0	91875	1835
Central Coast (NSW)	0	105000	1410
Central Coast (NSW)	0	131250	1931
Central Coast (NSW)	0	157500	276
Central Coast (NSW)	0	183750	469
Central Coast (NSW)	0	210000	99
Central Coast (NSW)	0	Inf	707
Central Coast (NSW)	1		6310
Central Coast (NSW)	1	0	912
Central Coast (NSW)	1	7875	352
Central Coast (NSW)	1	15750	341
Central Coast (NSW)	1	21000	447
Central Coast (NSW)	1	26250	1497
Central Coast (NSW)	1	34125	1767
Central Coast (NSW)	1	42000	6265
Central Coast (NSW)	1	52500	5353
Central Coast (NSW)	1	65625	6289
Central Coast (NSW)	1	78750	7360
Central Coast (NSW)	1	91875	5305
Central Coast (NSW)	1	105000	5616
Central Coast (NSW)	1	131250	11857
Central Coast (NSW)	1	157500	9036
Central Coast (NSW)	1	183750	7255
Central Coast (NSW)	1	210000	4497
Central Coast (NSW)	1	Inf	11550
Central Darling	0		14
Central Darling	0	0	12
Central Darling	0	7875	4
Central Darling	0	15750	10
Central Darling	0	21000	18
Central Darling	0	26250	46
Central Darling	0	34125	17
Central Darling	0	42000	12
Central Darling	0	52500	20
Central Darling	0	65625	19
Central Darling	0	78750	16
Central Darling	0	91875	16
Central Darling	0	105000	10
Central Darling	0	131250	22
Central Darling	0	183750	3
Central Darling	0	Inf	9
Central Darling	1		46
Central Darling	1	0	13
Central Darling	1	7875	8
Central Darling	1	15750	8
Central Darling	1	21000	5
Central Darling	1	26250	15
Central Darling	1	34125	17
Central Darling	1	42000	30
Central Darling	1	52500	34
Central Darling	1	65625	34
Central Darling	1	78750	23
Central Darling	1	91875	11
Central Darling	1	105000	10
Central Darling	1	131250	32
Central Darling	1	157500	16
Central Darling	1	183750	10
Central Darling	1	210000	11
Central Darling	1	Inf	19
Cessnock	0		308
Cessnock	0	0	214
Cessnock	0	7875	74
Cessnock	0	15750	179
Cessnock	0	21000	432
Cessnock	0	26250	1224
Cessnock	0	34125	699
Cessnock	0	42000	401
Cessnock	0	52500	541
Cessnock	0	65625	572
Cessnock	0	78750	383
Cessnock	0	91875	294
Cessnock	0	105000	210
Cessnock	0	131250	349
Cessnock	0	157500	34
Cessnock	0	183750	60
Cessnock	0	210000	7
Cessnock	0	Inf	66
Cessnock	1		1308
Cessnock	1	0	162
Cessnock	1	7875	54
Cessnock	1	15750	63
Cessnock	1	21000	101
Cessnock	1	26250	280
Cessnock	1	34125	395
Cessnock	1	42000	1226
Cessnock	1	52500	1048
Cessnock	1	65625	1140
Cessnock	1	78750	1323
Cessnock	1	91875	1040
Cessnock	1	105000	1024
Cessnock	1	131250	2228
Cessnock	1	157500	1656
Cessnock	1	183750	1219
Cessnock	1	210000	712
Cessnock	1	Inf	1517
Clarence Valley	0		392
Clarence Valley	0	0	209
Clarence Valley	0	7875	77
Clarence Valley	0	15750	266
Clarence Valley	0	21000	538
Clarence Valley	0	26250	1547
Clarence Valley	0	34125	961
Clarence Valley	0	42000	522
Clarence Valley	0	52500	636
Clarence Valley	0	65625	521
Clarence Valley	0	78750	292
Clarence Valley	0	91875	249
Clarence Valley	0	105000	172
Clarence Valley	0	131250	229
Clarence Valley	0	157500	32
Clarence Valley	0	183750	32
Clarence Valley	0	210000	11
Clarence Valley	0	Inf	71
Clarence Valley	1		1255
Clarence Valley	1	0	175
Clarence Valley	1	7875	85
Clarence Valley	1	15750	71
Clarence Valley	1	21000	123
Clarence Valley	1	26250	351
Clarence Valley	1	34125	362
Clarence Valley	1	42000	1549
