LGA_NAME21	Age5yr	ChildrenEverBorn	females
Bega Valley	65-69	0	261
Bega Valley	65-69	1	181
Bega Valley	65-69	2	572
Bega Valley	65-69	3	343
Bega Valley	65-69	4	133
Bega Valley	65-69	5	42
Bega Valley	65-69	6	22
Bega Valley	70-74		100
Bega Valley	70-74	0	165
Bega Valley	70-74	1	132
Bega Valley	70-74	2	528
Bega Valley	70-74	3	304
Bega Valley	70-74	4	136
Bega Valley	70-74	5	33
Bega Valley	70-74	6	21
Bega Valley	75-79		71
Bega Valley	75-79	0	87
Bega Valley	75-79	1	73
Bega Valley	75-79	2	319
Bega Valley	75-79	3	232
Bega Valley	75-79	4	102
Bega Valley	75-79	5	32
Bega Valley	75-79	6	24
Bega Valley	80-84		73
Bega Valley	80-84	0	48
Bega Valley	80-84	1	26
Bega Valley	80-84	2	155
Bega Valley	80-84	3	171
Bega Valley	80-84	4	93
Bega Valley	80-84	5	35
Bega Valley	80-84	6	30
Bega Valley	85+		107
Bega Valley	85+	0	31
Bega Valley	85+	1	47
Bega Valley	85+	2	111
Bega Valley	85+	3	132
Bega Valley	85+	4	102
Bega Valley	85+	5	45
Bega Valley	85+	6	43
Bellingen	15-19		58
Bellingen	15-19	0	293
Bellingen	20-24		24
Bellingen	20-24	0	146
Bellingen	20-24	1	12
Bellingen	20-24	2	7
Bellingen	25-29		17
Bellingen	25-29	0	106
Bellingen	25-29	1	39
Bellingen	25-29	2	33
Bellingen	25-29	3	13
Bellingen	30-34		34
Bellingen	30-34	0	94
Bellingen	30-34	1	56
Bellingen	30-34	2	84
Bellingen	30-34	3	38
Bellingen	30-34	4	12
Bellingen	30-34	5	4
Bellingen	35-39		25
Bellingen	35-39	0	60
Bellingen	35-39	1	58
Bellingen	35-39	2	103
Bellingen	35-39	3	58
Bellingen	35-39	4	23
Bellingen	35-39	5	6
Bellingen	35-39	6	3
Bellingen	40-44		30
Bellingen	40-44	0	53
Bellingen	40-44	1	40
Bellingen	40-44	2	129
Bellingen	40-44	3	59
Bellingen	40-44	4	24
Bellingen	40-44	6	3
Bellingen	45-49		39
Bellingen	45-49	0	64
Bellingen	45-49	1	53
Bellingen	45-49	2	181
Bellingen	45-49	3	80
Bellingen	45-49	4	37
Bellingen	45-49	5	10
Bellingen	45-49	6	3
Bellingen	50-54		33
Bellingen	50-54	0	69
Bellingen	50-54	1	59
Bellingen	50-54	2	174
Bellingen	50-54	3	108
Bellingen	50-54	4	39
Bellingen	50-54	5	14
Bellingen	50-54	6	8
Bellingen	55-59		45
Bellingen	55-59	0	112
Bellingen	55-59	1	52
Bellingen	55-59	2	191
Bellingen	55-59	3	116
Bellingen	55-59	4	50
Bellingen	55-59	5	10
Bellingen	55-59	6	13
Bellingen	60-64		31
Bellingen	60-64	0	114
Bellingen	60-64	1	73
Bellingen	60-64	2	202
Bellingen	60-64	3	124
Bellingen	60-64	4	72
Bellingen	60-64	5	22
Bellingen	60-64	6	3
Bellingen	65-69		35
Bellingen	65-69	0	90
Bellingen	65-69	1	65
Bellingen	65-69	2	184
Bellingen	65-69	3	129
Bellingen	65-69	4	53
Bellingen	65-69	5	13
Bellingen	65-69	6	6
Bellingen	70-74		47
Bellingen	70-74	0	74
Bellingen	70-74	1	42
Bellingen	70-74	2	139
Bellingen	70-74	3	90
Bellingen	70-74	4	32
Bellingen	70-74	5	17
Bellingen	70-74	6	8
Bellingen	75-79		26
Bellingen	75-79	0	33
Bellingen	75-79	1	30
Bellingen	75-79	2	95
Bellingen	75-79	3	76
Bellingen	75-79	4	41
Bellingen	75-79	5	13
Bellingen	75-79	6	4
Bellingen	80-84		28
Bellingen	80-84	0	13
Bellingen	80-84	1	15
Bellingen	80-84	2	56
Bellingen	80-84	3	46
Bellingen	80-84	4	47
Bellingen	80-84	5	11
Bellingen	80-84	6	10
Bellingen	85+		24
Bellingen	85+	0	10
Bellingen	85+	1	15
Bellingen	85+	2	60
Bellingen	85+	3	51
Bellingen	85+	4	29
Bellingen	85+	5	21
Bellingen	85+	6	14
Berrigan	15-19		30
Berrigan	15-19	0	178
Berrigan	15-19	1	9
Berrigan	20-24		15
Berrigan	20-24	0	105
Berrigan	20-24	1	13
Berrigan	20-24	2	7
Berrigan	25-29		23
Berrigan	25-29	0	91
Berrigan	25-29	1	25
Berrigan	25-29	2	19
Berrigan	25-29	3	6
Berrigan	25-29	4	3
Berrigan	30-34		15
Berrigan	30-34	0	58
Berrigan	30-34	1	31
Berrigan	30-34	2	54
Berrigan	30-34	3	26
Berrigan	30-34	4	12
Berrigan	30-34	5	4
Berrigan	35-39		12
Berrigan	35-39	0	20
Berrigan	35-39	1	27
Berrigan	35-39	2	62
Berrigan	35-39	3	48
Berrigan	35-39	4	14
Berrigan	35-39	5	4
Berrigan	35-39	6	3
Berrigan	40-44		18
Berrigan	40-44	0	29
Berrigan	40-44	1	22
Berrigan	40-44	2	75
Berrigan	40-44	3	55
Berrigan	40-44	4	23
Berrigan	40-44	5	8
Berrigan	40-44	6	7
Berrigan	45-49		27
Berrigan	45-49	0	24
Berrigan	45-49	1	34
Berrigan	45-49	2	72
Berrigan	45-49	3	59
Berrigan	45-49	4	20
Berrigan	45-49	5	8
Berrigan	50-54		26
