LGA_NAME21	MotorVehicles.min	occupied_private_dwellings
Kulin	4	58
Kwinana		236
Kwinana	0	773
Kwinana	1	5400
Kwinana	2	6265
Kwinana	3	1979
Kwinana	4	1013
Lake Grace		10
Lake Grace	0	14
Lake Grace	1	112
Lake Grace	2	188
Lake Grace	3	59
Lake Grace	4	92
Laverton		8
Laverton	0	33
Laverton	1	75
Laverton	2	34
Laverton	3	22
Laverton	4	9
Leonora		21
Leonora	0	38
Leonora	1	119
Leonora	2	101
Leonora	3	29
Leonora	4	6
Mandurah		543
Mandurah	0	1788
Mandurah	1	13845
Mandurah	2	12896
Mandurah	3	4200
Mandurah	4	2091
Manjimup		60
Manjimup	0	164
Manjimup	1	1134
Manjimup	2	1283
Manjimup	3	541
Manjimup	4	333
Meekatharra		23
Meekatharra	0	46
Meekatharra	1	103
Meekatharra	2	60
Meekatharra	3	19
Meekatharra	4	22
Melville		372
Melville	0	1660
Melville	1	12760
Melville	2	16236
Melville	3	4905
Melville	4	2639
Menzies		4
Menzies	0	10
Menzies	1	27
Menzies	2	19
Menzies	3	9
Menzies	4	3
Merredin		31
Merredin	0	64
Merredin	1	372
Merredin	2	406
Merredin	3	176
Merredin	4	102
Mingenew		6
Mingenew	0	7
Mingenew	1	34
Mingenew	2	45
Mingenew	3	25
Mingenew	4	27
Moora		30
Moora	0	33
Moora	1	257
Moora	2	268
Moora	3	127
Moora	4	102
Morawa		3
Morawa	0	12
Morawa	1	62
Morawa	2	76
Morawa	3	44
Morawa	4	23
Mosman Park		43
Mosman Park	0	317
Mosman Park	1	1283
Mosman Park	2	1278
Mosman Park	3	392
Mosman Park	4	212
Mount Magnet	0	6
Mount Magnet	1	45
Mount Magnet	2	41
Mount Magnet	3	15
Mount Magnet	4	18
Mount Marshall	0	3
Mount Marshall	1	53
Mount Marshall	2	57
Mount Marshall	3	27
Mount Marshall	4	37
Mukinbudin		9
Mukinbudin	0	5
Mukinbudin	1	54
Mukinbudin	2	81
Mukinbudin	3	37
Mukinbudin	4	35
Mundaring		136
Mundaring	0	337
Mundaring	1	3273
Mundaring	2	5343
Mundaring	3	2555
Mundaring	4	1897
Murchison		4
Murchison	0	3
Murchison	1	8
Murchison	2	7
Murchison	3	3
Murchison	4	3
Murray		122
Murray	0	163
Murray	1	2092
Murray	2	2363
Murray	3	1104
Murray	4	794
Nannup		9
Nannup	0	27
Nannup	1	163
Nannup	2	250
Nannup	3	103
Nannup	4	50
Narembeen		3
Narembeen	0	9
Narembeen	1	68
Narembeen	2	99
Narembeen	3	50
Narembeen	4	37
Narrogin		43
Narrogin	0	114
Narrogin	1	645
Narrogin	2	592
Narrogin	3	260
Narrogin	4	166
Nedlands		59
Nedlands	0	264
Nedlands	1	2112
Nedlands	2	3484
Nedlands	3	1115
Nedlands	4	564
Ngaanyatjarraku		25
Ngaanyatjarraku	0	199
Ngaanyatjarraku	1	85
Ngaanyatjarraku	2	25
Ngaanyatjarraku	3	4
Northam		88
Northam	0	198
Northam	1	1265
Northam	2	1430
Northam	3	643
Northam	4	444
Northampton		45
Northampton	0	26
Northampton	1	361
Northampton	2	452
Northampton	3	190
Northampton	4	123
Nungarin		5
Nungarin	0	5
Nungarin	1	26
Nungarin	2	29
Nungarin	3	16
Nungarin	4	17
Peppermint Grove		4
Peppermint Grove	0	16
Peppermint Grove	1	138
Peppermint Grove	2	203
Peppermint Grove	3	98
Peppermint Grove	4	68
Perenjori		9
Perenjori	0	4
Perenjori	1	32
Perenjori	2	47
Perenjori	3	17
Perenjori	4	22
Perth		169
Perth	0	2559
Perth	1	7115
Perth	2	2098
Perth	3	282
Perth	4	104
Pingelly		7
Pingelly	0	21
Pingelly	1	140
Pingelly	2	138
Pingelly	3	67
Pingelly	4	60
Plantagenet		40
Plantagenet	0	44
Plantagenet	1	549
Plantagenet	2	743
Plantagenet	3	362
Plantagenet	4	266
Port Hedland		103
Port Hedland	0	264
Port Hedland	1	1432
Port Hedland	2	2004
Port Hedland	3	733
Port Hedland	4	334
Quairading		9
Quairading	0	7
Quairading	1	99
Quairading	2	109
Quairading	3	42
Quairading	4	43
Ravensthorpe		22
Ravensthorpe	0	29
Ravensthorpe	1	287
Ravensthorpe	2	276
Ravensthorpe	3	91
Ravensthorpe	4	84
Rockingham		647
Rockingham	0	1909
Rockingham	1	16574
Rockingham	2	19282
Rockingham	3	6638
Rockingham	4	3369
Sandstone	1	13
Sandstone	2	21
Sandstone	3	4
Sandstone	4	9
Serpentine-Jarrahdale		131
Serpentine-Jarrahdale	0	124
Serpentine-Jarrahdale	1	2194
Serpentine-Jarrahdale	2	4277
Serpentine-Jarrahdale	3	1914
Serpentine-Jarrahdale	4	1569
Shark Bay		18
Shark Bay	0	22
Shark Bay	1	150
Shark Bay	2	109
Shark Bay	3	32
Shark Bay	4	31
South Perth		172
South Perth	0	988
South Perth	1	7374
South Perth	2	6620
South Perth	3	1789
South Perth	4	748
Stirling		1137
Stirling	0	5386
Stirling	1	35839
Stirling	2	34242
Stirling	3	9170
Stirling	4	4547
Subiaco		62
Subiaco	0	709
Subiaco	1	3794
Subiaco	2	2303
Subiaco	3	491
Subiaco	4	173
Swan		675
Swan	0	1942
Swan	1	15965
Swan	2	21448
Swan	3	7887
Swan	4	4743
Tammin		6
Tammin	0	4
Tammin	1	43
Tammin	2	48
Tammin	3	22
Tammin	4	24
Three Springs		6
Three Springs	0	6
Three Springs	1	72
Three Springs	2	65
Three Springs	3	28
Three Springs	4	23
Toodyay		68
Toodyay	0	30
Toodyay	1	415
Toodyay	2	644
Toodyay	3	310
Toodyay	4	277
Trayning	0	6
Trayning	1	44
Trayning	2	50
Trayning	3	18
Trayning	4	10
Upper Gascoyne		5
Upper Gascoyne	0	3
Upper Gascoyne	1	26
Upper Gascoyne	2	15
Upper Gascoyne	3	6
Upper Gascoyne	4	8
Victoria Park		200
Victoria Park	0	1416
Victoria Park	1	6847
Victoria Park	2	5140
Victoria Park	3	1257
Victoria Park	4	505
Victoria Plains		8
Victoria Plains	0	5
Victoria Plains	1	58
Victoria Plains	2	108
Victoria Plains	3	53
Victoria Plains	4	55
Vincent		136
Vincent	0	1453
Vincent	1	7143
Vincent	2	5122
Vincent	3	1165
Vincent	4	441
Wagin		14
Wagin	0	40
Wagin	1	215
Wagin	2	251
Wagin	3	92
Wagin	4	79
Wandering		4
Wandering	0	7
Wandering	1	26
Wandering	2	63
Wandering	3	38
Wandering	4	39
Wanneroo		831
Wanneroo	0	2307
Wanneroo	1	22195
Wanneroo	2	29689
Wanneroo	3	10418
Wanneroo	4	5805
Waroona		33
Waroona	0	57
Waroona	1	447
Waroona	2	584
Waroona	3	272
Waroona	4	200
West Arthur		8
West Arthur	0	4
West Arthur	1	63
West Arthur	2	109
West Arthur	3	51
West Arthur	4	63
Westonia	0	8
Westonia	1	21
Westonia	2	35
Westonia	3	21
Westonia	4	14
Wickepin	0	3
Wickepin	1	42
Wickepin	2	105
Wickepin	3	30
Wickepin	4	37
Williams		8
Williams	0	9
Williams	1	93
Williams	2	132
Williams	3	85
Williams	4	43
Wiluna		5
Wiluna	0	9
Wiluna	1	37
Wiluna	2	22
Wiluna	3	3
Wiluna	4	7
Wongan-Ballidu		9
Wongan-Ballidu	0	18
Wongan-Ballidu	1	147
Wongan-Ballidu	2	205
Wongan-Ballidu	3	97
Wongan-Ballidu	4	44
Woodanilling	1	37
Woodanilling	2	59
Woodanilling	3	33
Woodanilling	4	37
Wyalkatchem		5
Wyalkatchem	0	13
Wyalkatchem	1	79
Wyalkatchem	2	71
Wyalkatchem	3	27
Wyalkatchem	4	18
Wyndham-East Kimberley		116
Wyndham-East Kimberley	0	319
Wyndham-East Kimberley	1	706
Wyndham-East Kimberley	2	624
Wyndham-East Kimberley	3	223
Wyndham-East Kimberley	4	139
Yalgoo		3
Yalgoo	0	6
Yalgoo	1	14
Yalgoo	2	15
Yalgoo	3	4
Yalgoo	4	3
Yilgarn		13
Yilgarn	0	16
Yilgarn	1	122
Yilgarn	2	127
Yilgarn	3	60
Yilgarn	4	50
York		25
York	0	43
York	1	461
York	2	500
York	3	239
York	4	151
Break O'Day		50
Break O'Day	0	132
Break O'Day	1	1065
Break O'Day	2	1085
Break O'Day	3	435
Break O'Day	4	238
Brighton		117
Brighton	0	446
Brighton	1	2149
Brighton	2	2296
Brighton	3	1081
Brighton	4	798
Burnie		121
Burnie	0	608
Burnie	1	3074
Burnie	2	2725
Burnie	3	994
Burnie	4	587
Central Coast (Tas.)		163
Central Coast (Tas.)	0	409
Central Coast (Tas.)	1	3031
Central Coast (Tas.)	2	3356
Central Coast (Tas.)	3	1372
Central Coast (Tas.)	4	902
Central Highlands (Tas.)		27
Central Highlands (Tas.)	0	20
Central Highlands (Tas.)	1	287
Central Highlands (Tas.)	2	346
Central Highlands (Tas.)	3	186
Central Highlands (Tas.)	4	140
Circular Head		69
Circular Head	0	108
Circular Head	1	948
Circular Head	2	1168
Circular Head	3	465
Circular Head	4	264
Clarence		266
Clarence	0	1274
Clarence	1	7881
Clarence	2	8890
Clarence	3	3243
Clarence	4	2033
Derwent Valley		57
Derwent Valley	0	222
Derwent Valley	1	1198
Derwent Valley	2	1414
Derwent Valley	3	722
Derwent Valley	4	499
Devonport		169
Devonport	0	810
Devonport	1	4043
Devonport	2	3673
Devonport	3	1334
Devonport	4	743
Dorset		67
Dorset	0	102
Dorset	1	877
Dorset	2	940
Dorset	3	435
Dorset	4	348
Flinders (Tas.)		21
Flinders (Tas.)	0	24
Flinders (Tas.)	1	128
Flinders (Tas.)	2	139
Flinders (Tas.)	3	76
Flinders (Tas.)	4	33
George Town		67
George Town	0	187
George Town	1	1007
George Town	2	972
George Town	3	409
George Town	4	266
Glamorgan-Spring Bay		40
Glamorgan-Spring Bay	0	56
Glamorgan-Spring Bay	1	689
Glamorgan-Spring Bay	2	826
Glamorgan-Spring Bay	3	293
Glamorgan-Spring Bay	4	194
Glenorchy		342
Glenorchy	0	1890
Glenorchy	1	7666
Glenorchy	2	6214
Glenorchy	3	2351
Glenorchy	4	1401
Hobart		222
Hobart	0	2061
Hobart	1	8929
Hobart	2	7055
Hobart	3	2121
Hobart	4	1073
Huon Valley		113
Huon Valley	0	203
Huon Valley	1	2084
Huon Valley	2	2724
Huon Valley	3	1101
Huon Valley	4	735
Kentish		36
Kentish	0	59
Kentish	1	609
Kentish	2	925
Kentish	3	472
Kentish	4	351
King Island		14
King Island	0	25
King Island	1	240
King Island	2	231
King Island	3	92
King Island	4	50
Kingborough		148
Kingborough	0	529
Kingborough	1	4934
Kingborough	2	5951
Kingborough	3	2177
Kingborough	4	1346
Latrobe (Tas.)		78
Latrobe (Tas.)	0	143
Latrobe (Tas.)	1	1545
Latrobe (Tas.)	2	1889
Latrobe (Tas.)	3	775
Latrobe (Tas.)	4	482
Launceston		567
Launceston	0	2141
Launceston	1	10412
Launceston	2	9327
Launceston	3	3390
Launceston	4	1890
Meander Valley		116
Meander Valley	0	307
Meander Valley	1	2503
Meander Valley	2	3013
Meander Valley	3	1376
Meander Valley	4	939
Northern Midlands		84
Northern Midlands	0	194
Northern Midlands	1	1670
Northern Midlands	2	2039
Northern Midlands	3	915
Northern Midlands	4	602
Sorell		84
Sorell	0	161
Sorell	1	2016
Sorell	2	2479
Sorell	3	1071
Sorell	4	691
Southern Midlands		46
Southern Midlands	0	60
Southern Midlands	1	524
Southern Midlands	2	893
Southern Midlands	3	492
Southern Midlands	4	454
Tasman		20
Tasman	0	34
Tasman	1	399
Tasman	2	416
Tasman	3	178
Tasman	4	96
Waratah-Wynyard		85
Waratah-Wynyard	0	363
Waratah-Wynyard	1	2015
Waratah-Wynyard	2	2033
Waratah-Wynyard	3	856
Waratah-Wynyard	4	508
West Coast		40
West Coast	0	151
West Coast	1	808
West Coast	2	579
West Coast	3	207
West Coast	4	84
West Tamar		142
West Tamar	0	287
West Tamar	1	2944
West Tamar	2	3699
West Tamar	3	1628
West Tamar	4	1077
Alice Springs		207
Alice Springs	0	756
Alice Springs	1	3213
Alice Springs	2	3003
Alice Springs	3	1128
Alice Springs	4	582
Barkly		64
Barkly	0	522
Barkly	1	610
Barkly	2	277
Barkly	3	70
Barkly	4	58
Belyuen		6
Belyuen	0	33
Belyuen	1	8
Central Desert		41
Central Desert	0	208
Central Desert	1	300
Central Desert	2	101
Central Desert	3	30
Central Desert	4	28
Coomalie		19
Coomalie	0	40
Coomalie	1	164
Coomalie	2	138
Coomalie	3	43
Coomalie	4	32
Darwin		562
Darwin	0	1923
Darwin	1	10445
Darwin	2	10629
Darwin	3	3316
Darwin	4	1586
Darwin Waterfront Precinct	0	7
Darwin Waterfront Precinct	1	108
Darwin Waterfront Precinct	2	38
Darwin Waterfront Precinct	3	9
East Arnhem		50
East Arnhem	0	722
East Arnhem	1	469
East Arnhem	2	162
East Arnhem	3	32
East Arnhem	4	11
Katherine		150
Katherine	0	208
Katherine	1	894
Katherine	2	999
Katherine	3	388
Katherine	4	222
Litchfield		149
Litchfield	0	108
Litchfield	1	1315
Litchfield	2	2263
Litchfield	3	1261
Litchfield	4	1161
MacDonnell		56
MacDonnell	0	445
MacDonnell	1	440
MacDonnell	2	125
MacDonnell	3	37
MacDonnell	4	24
Palmerston		256
Palmerston	0	545
Palmerston	1	3855
Palmerston	2	5292
Palmerston	3	1710
Palmerston	4	666
Roper Gulf		41
Roper Gulf	0	481
Roper Gulf	1	396
Roper Gulf	2	189
Roper Gulf	3	42
Roper Gulf	4	38
Tiwi Islands		15
Tiwi Islands	0	373
Tiwi Islands	1	169
Tiwi Islands	2	42
Tiwi Islands	3	10
Victoria Daly		24
Victoria Daly	0	183
Victoria Daly	1	228
Victoria Daly	2	92
Victoria Daly	3	43
Victoria Daly	4	23
Wagait		3
Wagait	0	7
Wagait	1	72
Wagait	2	66
Wagait	3	26
Wagait	4	4
West Arnhem		38
West Arnhem	0	544
West Arnhem	1	394
West Arnhem	2	152
West Arnhem	3	50
West Arnhem	4	26
West Daly		13
West Daly	0	312
West Daly	1	118
West Daly	2	37
West Daly	3	13
West Daly	4	3
Unincorporated NT		66
Unincorporated NT	0	222
Unincorporated NT	1	779
Unincorporated NT	2	737
Unincorporated NT	3	200
Unincorporated NT	4	104
Unincorporated ACT		1484
Unincorporated ACT	0	9273
Unincorporated ACT	1	65446
Unincorporated ACT	2	64634
Unincorporated ACT	3	18290
Unincorporated ACT	4	9278
Unincorp. Other Territories		47
Unincorp. Other Territories	0	33
Unincorp. Other Territories	1	352
Unincorp. Other Territories	2	358
Unincorp. Other Territories	3	125
Unincorp. Other Territories	4	72
