LGA_NAME21	PrivateDwelling	persons
Tiwi Islands	1	2097
Victoria Daly	0	1444
Victoria Daly	1	2301
Wagait	0	44
Wagait	1	364
West Arnhem	0	2203
West Arnhem	1	5882
West Daly	0	220
West Daly	1	2785
Unincorporated NT	0	3736
Unincorporated NT	1	5145
Migratory - Offshore - Shipping (NT)	0	470
Migratory - Offshore - Shipping (NT)	1	12
Unincorporated ACT	0	27889
Unincorporated ACT	1	424415
Unincorp. Other Territories	0	625
Unincorp. Other Territories	1	2112
